Drug	Drug_id	Drug_type	Drug_type_id
Atosiban	C0164398	protein	null
Luteinizing Hormone	C0023607	protein	null
aloxistatin	C0902566	protein	null
omalizumab	C0966225	protein	null
interleukin-1beta-converting enzyme inhibitor	C0168318	protein	null
Amylases	C0002712	protein	null
Cystine	C0010682	protein	null
Lipase	C0023764	protein	null
TRYPSIN	C0041236	protein	null
Caseins	C0007332	protein	null
certolizumab pegol	C1872109	protein	null
Thrombin	C0040018	protein	null
Hyaluronidase	C0020197	protein	null
Octreotide	C0028833	protein	null
Leuprolide	C0085272	protein	null
Leuprolide Acetate	C0700596	protein	null
Gonadotropins	C0018061	protein	null
Gonadorelin	C0023610	protein	null
Monoclonal Antibody HuM291	C0879551	protein	null
Penicillamine	C0030817	protein	null
Albumin Human, USP	C0304925	protein	null
Glycoside Hydrolases	C0017976	protein	null
polysaccharide peptide	C0296773	protein	null
alpha-Methyltyrosine	C0051427	protein	null
Digestive Enzymes	C0544420	protein	null
Transforming Growth Factor Beta 1	C1704256	protein	null
recombinant human bone morphogenetic protein-2	C1445578	protein	null
compound 20	C0056212	protein	null
2-Amino-5-phosphonovalerate	C0000254	protein	null
Captopril	C0006938	protein	null
Recombinant Interleukin-6	C1527132	protein	null
ranpirnase	C0069919	protein	null
Interleukin-7	C0021761	protein	null
soy protein isolate	C0677666	protein	null
Cyclosporine	C0010592	protein	null
whey protein	C0078479	protein	null
Pregnant Mare Serum Gonadotropins	C1136247	protein	null
Chorionic Gonadotropin	C0018062	protein	null
Angiotensins	C0003018	protein	null
saporin	C0244777	protein	null
Lioresal	C0699999	protein	null
adalimumab	C1122087	protein	null
cerebrolysin	C0055108	protein	null
SD 62	C0650999	protein	null
desmopressin	C0011701	protein	null
Corticotropin-Releasing Hormone	C0010132	protein	null
Amino Acids, Essential	C0002525	protein	null
Cholecystokinin	C0008328	protein	null
Factor VIII	C0015506	protein	null
muscarinic toxin 7	C0964038	protein	null
Recombinant Granulocyte-Macrophage Colony-Stimulating Factors	C0376563	protein	null
infliximab	C0666743	protein	null
Immunoglobulin G	C0020852	protein	null
Alpha-glucosidase	C0002272	protein	null
CHYMOTRYPSIN	C0008742	protein	null
GVS 111	C0534769	protein	null
Natriuretic Peptides	C1144709	protein	null
Thyrotropin	C0040160	protein	null
Prolactin Release-Inhibiting Hormone	C0033373	protein	null
Nesiritide	C0054015	protein	null
H 77	C0062041	protein	null
liraglutide	C1456408	protein	null
methylarginyl-lysyl-prolyl-tryptophyl-tert-leucyl-leucyl-ethyl ester	C0128167	protein	null
prohibitin	C0084178	protein	null
neuromedin S	C1566901	protein	null
Pancreatic lipase	C0443469	protein	null
Gastric Inhibitory Polypeptide	C0017132	protein	null
messenger protein	C0169911	protein	null
premier	C0309847	protein	null
Interferon Type II	C0021745	protein	null
angiotensin I (1-7)	C0103306	protein	null
cyanoginosin LR	C0056661	protein	null
Mucin-1 protein	C0057628	protein	null
GM 6001	C0210353	protein	null
bevacizumab	C0796392	protein	null
mecysteine	C0065850	protein	null
Recombinant Transforming Growth Factor-Beta 1	C1515406	protein	null
Thyroxine	C0040165	protein	null
pasireotide	C1872203	protein	null
ranibizumab	C1566537	protein	null
Parathyroid Hormone	C0030520	protein	null
Calcitonin	C0006668	protein	null
L-leucyl-L-leucine methyl ester	C0281255	protein	null
Growth Hormone	C0037663	protein	null
Somatostatin analog	C0732165	protein	null
Alanine, DL-	C1648700	protein	null
LIVER FRACTION	C0982262	protein	null
Urokinase	C0042071	protein	null
Adenosylmethionine	C3826787	protein	null
Fenclonine	C0030135	protein	null
siltuximab	C1609931	protein	null
Pancreatic enzyme	C0920330	protein	null
Urinary Bladder Tumor Antigen	C1519830	protein	null
Dysport	C0591427	protein	null
Metyrosine	C0886584	protein	null
Enalapril	C0014025	protein	null
exenatide	C0167117	protein	null
Streptokinase	C0038418	protein	null
DENR protein, human	C0675739	protein	null
Carnosine	C0007267	protein	null
Lisinopril	C0065374	protein	null
Protein Hydrolysates	C0033631	protein	null
antagonist G	C0381385	protein	null
CELLULASE	C0007641	protein	null
theanine	C0076380	protein	null
Dopachrome isomerase	C0114832	protein	null
phosphoprotein phosphatase inhibitor 1	C0650866	protein	null
Enkephalin, Ala(2)-MePhe(4)-Gly(5)-	C0525773	protein	null
BRAF inhibitor	C3838813	protein	null
Tyrosine Hydroxylase Inhibitor	C1519723	protein	null
Methyl aspartate	C3825340	protein	null
Incretins	C1562292	protein	null
DDAVP	C0701195	protein	null
OL 17	C0133780	protein	null
phaclofen	C0070499	protein	null
Ferritin	C0015879	protein	null
tramiprosate	C0062961	protein	null
Chlorophenylalanine	C3826571	protein	null
glucagon-like peptide 1 (7-36)amide	C0061359	protein	null
bivalirudin	C0168273	protein	null
Antithrombins	C0003440	protein	null
L-Selenomethionine	C1517683	protein	null
threonyl-lysyl-proline	C0076549	protein	null
abobotulinumtoxinA	C2719424	protein	null
HOE 140	C0082926	protein	null
COLLAGENASE	C0162745	protein	null
Soy	C2756587	protein	null
onabotulinumtoxinA	C2719767	protein	null
tyrosyl-arginyl-phenylalanyl-lysinamide	C0077580	protein	null
urinastatin	C0077906	protein	null
Silk	C0074529	protein	null
Plasminogen	C0032140	protein	null
Gastrin	C0376180	protein	null
Recombinant Interleukin-1	C1522428	protein	null
Tissue factor pathway inhibitor	C0164707	protein	null
butyloxycarbonyl-phenylalanyl-leucyl-lysine	C0623798	protein	null
alteplase	C0032143	protein	null
Recombinant Interleukins	C1527200	protein	null
mepolizumab	C0969324	protein	null
SB 30	C0084468	protein	null
N-phthaloyl-4-aminobutyric acid	C0083693	protein	null
N,N-dimethylarginine	C0067385	protein	null
Antivenin	C0003450	protein	null
Ornithine	C0029277	protein	null
mullerian-inhibiting hormone	C0066928	protein	null
Intrinsic factor	C0021918	protein	null
Vasopressin (USP)	C1705480	protein	null
pegvisomant	C0913469	protein	null
Gonadotropin-Releasing Hormone Analog	C1268900	protein	null
factor XIII	C0015528	protein	null
Aminolevulinic Acid	C0002563	protein	null
AD 5	C0050718	protein	null
jasplakinolide	C0165117	protein	null
Coagulation protein	C1292266	protein	null
Insulin-Like Growth Factor Binding Protein 3	C0123707	protein	null
trastuzumab	C0728747	protein	null
digoxin antibodies Fab fragments	C0700607	protein	null
BQ 788	C0253336	protein	null
Fibroblast Growth Factor 7	C0064294	protein	null
crotalphine	C2607211	protein	null
DISCOVERY -4	C0308842	protein	null
Recombinant Interferon Beta	C0751599	protein	null
Interferon-beta	C0015980	protein	null
alpha-aminobutyric acid	C0054314	protein	null
O 1602	C3253490	protein	null
Antiplasmin	C0003410	protein	null
Plasmin	C0016016	protein	null
ubenimex	C0053355	protein	null
Azaserine	C0004480	protein	null
von Willebrand factor	C0042971	protein	null
omega-N-Methylarginine	C0069477	protein	null
Soy Proteins	C0074926	protein	null
velaglucerase alfa	C2919267	protein	null
gloverin	C0664622	protein	null
BQ 123	C0379142	protein	null
dimethylglycine	C0058265	protein	null
Dopal	C1517852	protein	null
Serpins	C0036764	protein	null
alpha-fluoromethylhistidine	C0051363	protein	null
alemtuzumab	C0383429	protein	null
Pancreatin	C0030304	protein	null
Recombinant Macrophage Colony-Stimulating Factor	C1524095	protein	null
eluxadoline	C3712232	protein	null
linaclotide	C2000261	protein	null
abatacept	C1619966	protein	null
Methyldopa	C0025741	protein	null
Posterior Pituitary Hormones	C0032017	protein	null
N-acetyl-aspartyl-glutamate	C0130693	protein	null
Cancer Vaccines	C0376659	protein	null
prolylarginine	C0164296	protein	null
pembrolizumab	C3658706	protein	null
benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone	C0383779	protein	null
gamma-Aminobutyrate	C0178649	protein	null
Amino-Arginine	C1510863	protein	null
Protein C	C0033621	protein	null
factor IX	C0015491	protein	null
Antithrombin III	C0003438	protein	null
Blood Coagulation Factor	C0005789	protein	null
PROTEIN C CONCENTRATE	C3854178	protein	null
Tamm-Horsfall protein	C0077918	protein	null
beta-Galactosidase	C0005220	protein	null
Immunoglobulin D	C0020843	protein	null
Prothrombin	C0033706	protein	null
Recombinant Immune Globulin	C1527233	protein	null
Meprin	C0733413	protein	null
factor VII	C0015502	protein	null
synacthen	C0592151	protein	null
Mouse monoclonal antibody	C0359168	protein	null
alpha 1-proteinase inhibitor, human	C0795657	protein	null
diphenylhexatrienylpropanoylhydrazylstachyose	C0636099	protein	null
thyroid (USP)	C0040134	protein	null
chymostatin	C0055676	protein	null
leupeptin	C0064858	protein	null
Antipain	C0003403	protein	null
Pentagastrin	C0030859	protein	null
Basal insulin	C0650607	protein	null
Epidermal Growth Factor	C0242275	protein	null
Secretin	C0036534	protein	null
mecasermin	C0904505	protein	null
Antigens, Synthetic	C0039115	protein	null
Recombinant Human Growth Hormone	C0384570	protein	null
32-33 split proinsulin	C0165908	protein	null
Kininogenase	C0022478	protein	null
Thyroglobulin	C0040123	protein	null
C-C Motif Chemokine 23	C0538072	protein	null
growth hormone, bovine	C0520986	protein	null
Mimosine	C0026153	protein	null
tPA-PAI complex	C0522326	protein	null
Erythropoietin	C0014822	protein	null
Hypothalamic Releasing Factor	C0020660	protein	null
eculizumab	C1541483	protein	null
Leucine / Phenylalanine	C2736424	protein	null
benzyloxycarbonylleucyl-leucyl-leucine aldehyde	C0105729	protein	null
Thyrotropin-Releasing Hormone Analogue	C2699938	protein	null
Nonessential amino acid	C0311461	protein	null
M200	C2987578	protein	null
oncogene protein E7, Human papillomavirus type 16	C0069508	protein	null
6-Aminocaproic Acid	C0000608	protein	null
hypotaurine	C0063235	protein	null
Interferon-alpha	C0002199	protein	null
N-Acetylcysteinamide	C1452654	protein	null
Human rubella immunoglobulin	C1827835	protein	null
Protamines	C0033603	protein	null
vasopressin, 1-(1-mercaptocyclohexaneacetic acid)-2-(O- methyl-L-tyrosine)-8-L-arginine-	C0078080	protein	null
Aprotinin	C0003641	protein	null
myristoyl-L-methionine	C0757631	protein	null
HLA-DRB1 antigen	C0122040	protein	null
Chorulon	C0008527	protein	null
basiliximab	C0676831	protein	null
acetyl-aspartyl-glutamyl-valyl-aspartic acid p-nitroanilide	C0967499	protein	null
Globulin-N	C0086348	protein	null
Etanercept	C0717758	protein	null
AD 20	C0050714	protein	null
fragment X	C0118228	protein	null
IP 20	C0063833	protein	null
protein phosphatase inhibitor-2	C0072389	protein	null
Amino acid supplement	C0556082	protein	null
pantothenate	C0178793	protein	null
Carglumic acid	C1318649	protein	null
Insulin, Long-Acting	C0304870	protein	null
Lioresal Intrathecal	C0721369	protein	null
Integrator, veterinary brand name drug	C0309311	protein	null
carfilzomib	C2001856	protein	null
Gamma globulin serum	C0305052	protein	null
Immunoglobulin G, Human	C2702333	protein	null
Complement Inactivating Agents	C1564892	protein	null
Saposin D	C0074043	protein	null
Immune Globulin (Human)	C0358321	protein	null
Bromelains	C0006217	protein	null
Tetanus immune globulin, human	C0305058	protein	null
AMP-activated protein kinase kinase	C0252214	protein	null
Puregon	C0593515	protein	null
Menopur	C0595531	protein	null
Pregnyl	C0699381	protein	null
jacalin	C0064133	protein	null
casein hydrolysate	C0054845	protein	null
M15 protein	C0168944	protein	null
bovine serum albumin fraction v	C1646313	protein	null
Antibodies, Bispecific	C0206492	protein	null
eltrombopag	C1831905	protein	null
TC 13	C0075874	protein	null
TRYPSIN-CHYMOTRYPSIN	C0993235	protein	null
Iletin I	C3180941	protein	null
Tryptar preparation	C0544421	protein	null
leucinal	C0064781	protein	null
Hyaluronidase, Bovine	C1615665	protein	null
Endo-Porter	C1722709	protein	null
Interferon Alfa-2a	C0021734	protein	null
Insulin Aspart	C1708521	protein	null
NovoLog	C0939412	protein	null
calcium proteins	C2064889	protein	null
Protein supplement	C0770246	protein	null
Recombinant Fibroblast Growth Factor-2	C1522505	protein	null
Regular Insulin, Human	C0795635	protein	null
Recombinant Interferon Alfa	C0751598	protein	null
Insulin, Beef	C0304866	protein	null
HER-2-neu peptide vaccine	C0879250	protein	null
Recombinant Growth Hormone	C0376560	protein	null
Abufne	C1448340	protein	null
cysteine hydrochloride	C0724565	protein	null
D-Glutamate	C0112117	protein	null
Gamimune	C0162506	protein	null
Gamimune N	C0162507	protein	null
Endobulin	C0086217	protein	null
Gammonativ	C0086334	protein	null
Gammagard	C0086333	protein	null
Iveegam	C0086491	protein	null
Intraglobin	C0086482	protein	null
Intraglobin F	C0086483	protein	null
Modified Immune Globulin (Anti-Echovirus Antibody)	C0086636	protein	null
Sandoglobulin	C0086952	protein	null
Venoglobulin	C0087151	protein	null
Venoglobulin-I	C0087152	protein	null
Venimmune	C4704924	protein	null
Gamunex	C1451114	protein	null
Intravenous Immunoglobulins, Human	C3494178	protein	null
Alphaglobin	C0524776	protein	null
Endorphenyl	C0751433	protein	null
Cordilox	C0010007	protein	null
Mvasi	C4694346	protein	null
Avastin	C1135130	protein	null
bevacizumab-awwb	C4529301	protein	null
Somatofalk	C0205952	protein	null
Stilamin	C0205953	protein	null
Iletin	C0020884	protein	null
Sodium Insulin	C0037520	protein	null
Novolin	C0028467	protein	null
Acignost	C0001136	protein	null
Peptavlon	C0702012	protein	null
gamma-Fibrinogen	C0017032	protein	null
Proterelin Tartrate Hydrate	C3661504	protein	null
Abbott-38579	C0701790	protein	null
Relefact TRH	C0699182	protein	null
Thypinone	C0699184	protein	null
Protirelin Tartrate (1:1)	C0040164	protein	null
Stimu-TSH	C2713580	protein	null
Thyroliberin	C2713581	protein	null
TRH Prem	C2713579	protein	null
Antepan	C2713578	protein	null
Eltroxin	C0591440	protein	null
levothyroxine sodium	C0079691	protein	null
Levo-T	C0721340	protein	null
Levoxyl	C0721346	protein	null
Levothroid	C0721345	protein	null
Dexnon	C1450012	protein	null
L-Thyrox	C1450017	protein	null
Thyrax	C1450019	protein	null
Tiroxina Leo	C1450025	protein	null
Synthroid	C0728762	protein	null
Levothyroid	C0733849	protein	null
Eltroxine	C0733848	protein	null
Levoxine	C0733850	protein	null
Unithroid	C0939521	protein	null
Eferox	C1450013	protein	null
L-Thyroxine Roche	C1450016	protein	null
Levothyroxin Deladande	C1450018	protein	null
L-Thyroxin beta	C1450014	protein	null
Levothyrox	C1450020	protein	null
Synthrox	C1450023	protein	null
L-Thyroxin Henning	C1450015	protein	null
Berlthyrox	C1450011	protein	null
Novothyrox	C1450021	protein	null
liothyronine sodium	C0546882	protein	null
Cytomel	C0010826	protein	null
Taurine Zinc Salt (2:1)	C0969648	protein	null
Taurine Hydrochloride	C0949433	protein	null
Taurine, Monopotassium Salt	C0949434	protein	null
Levopa	C0700880	protein	null
Dopar	C0720022	protein	null
Larodopa	C0699991	protein	null
Dopaflex	C1449995	protein	null
Neoton	C0600301	protein	null
Phosphocreatine, Disodium Salt	C0949402	protein	null
acetyl-L-leucyl-L-leucyl-L-arginal	C0101149	protein	null
Natpara	C3883368	protein	null
Argipressin Tannate	C0282062	protein	null
leupeptin, (S)-isomer	C0955390	protein	null
leupeptin, monoacetate, (S)-isomer	C0955391	protein	null
protease	C5200997	protein	null
Biogonadil	C0005499	protein	null
Choriogonin	C0008500	protein	null
human chorionic gonadotropin	C1141639	protein	null
Gonabion	C0018048	protein	null
streptodornase	C0038415	protein	null
Protein Kinase Inhibitors	C1449702	protein	null
OL 27-400	C0878526	protein	null
CsA-Neoral	C0699602	protein	null
Sandimmune	C0699604	protein	null
Sandimmun Neoral	C0699603	protein	null
Neoral	C0699605	protein	null
SQ-28,555	C0543474	protein	null
Fosinopril, (1(S*(S*)),2 alpha,4 beta)-Isomer	C0886709	protein	null
Fosinopril, (1(S*(R*)),2 alpha,4 alpha)-(D-Pro)-Isomer	C0886710	protein	null
Tenso Stop	C1567478	protein	null
Hiperlex	C1567479	protein	null
Monopril	C0728957	protein	null
aspartate magnesium hydrochloride	C0004011	protein	null
magnesium aspartate	C0543448	protein	null
Mg-5-Longoral	C0024470	protein	null
Magnesiocard	C0677518	protein	null
calcium aspartate	C0949222	protein	null
potassium aspartate	C0032823	protein	null
Activase	C0701942	protein	null
Actilyse	C0678113	protein	null
Cystatin B	C0075212	protein	null
Cystatins	C0010646	protein	null
Zomacton	C0592544	protein	null
Norditropin	C0699617	protein	null
Genotropin	C0699616	protein	null
Nutropin	C0699619	protein	null
Maxomat	C1564129	protein	null
Cryo-Tropin	C1564130	protein	null
Saizen	C0699618	protein	null
Omnitrope	C1724675	protein	null
Humatrope	C0684259	protein	null
Serostim	C1963199	protein	null
Lactaid	C0733877	protein	null
Lactrase	C0721296	protein	null
Dairyaid	C1564491	protein	null
Lactogest	C1564492	protein	null
deoxyribonucleases	C0011522	protein	null
BNT-162C2	C5417956	protein	null
BNT-162A1	C5398044	protein	null
BNT-162B1	C5417955	protein	null
Abdavomeran	C5446355	protein	null
Gammalon	C0733457	protein	null
Natrecor	C1170421	protein	null
copeptins	C0056279	protein	null
Lysosomal alpha-Glucosidase	C1706105	protein	null
REGN-727	C5226665	protein	null
Praluent	C4046859	protein	null
Cystatin C (substance)	C0071744	protein	null
Iplex	C1697533	protein	null
Acidin-Pepsin	C0001120	protein	null
Codotussyl	C1449424	protein	null
Exomuc	C1449433	protein	null
Frekatuss	C1449434	protein	null
Fabrol	C0591477	protein	null
Acetylcystein Atid	C1449411	protein	null
Airbron	C1449415	protein	null
Lindocetyl	C1449439	protein	null
Mucosil	C1449443	protein	null
Siccoral	C1449405	protein	null
Acemuc	C1449406	protein	null
Acetylcystein Trom	C1449413	protein	null
Acetyst	C1449414	protein	null
Fluprowit	C1449419	protein	null
Bisolvon NAC	C1449421	protein	null
Broncho-Fips	C1449422	protein	null
Cystamucil	C1449425	protein	null
Eurespiran	C1449432	protein	null
M-Pectil	C1449440	protein	null
mentopin Acetylcystein	C1449442	protein	null
NAC AL	C1449408	protein	null
Acetylcystein Heumann	C1449412	protein	null
Azubronchin	C1449417	protein	null
Dampo Mucopect	C1449430	protein	null
durabronchal	C1449431	protein	null
Jenacystein	C1449437	protein	null
lysine acetate	C0024339	protein	null
lysine hydrochloride	C0024340	protein	null
Enisyl	C0917917	protein	null
N-acetyl-1-aspartylglutamic acid, (L)-isomer ion	C0954195	protein	null
NAAGA sodium salt	C0131674	protein	null
Zy 15109	C0149497	protein	null
isospaglumic acid	C0771562	protein	null
ZY 15106	C0243992	protein	null
Naaxia	C0611592	protein	null
N-acetyl-1-aspartylglutamic acid, magnesium salt	C0954194	protein	null
Endoglycosidases	C3537242	protein	null
Liquimeth	C0701428	protein	null
Pedameth	C0030749	protein	null
Kybernin	C0651143	protein	null
Atenativ	C1448439	protein	null
Antithrombin III-Alpha	C1448437	protein	null
Thrombate III	C0723738	protein	null
alpha 1-antitrypsin	C0002191	protein	null
Prolastin	C0701947	protein	null
Zemaira	C1330611	protein	null
CD59 protein, human	C1504686	protein	null
beta,gamma-Thrombin	C0005177	protein	null
beta-Thrombin	C0005285	protein	null
Thrombostat	C0702033	protein	null
Thrombinar	C0702032	protein	null
Thrombin-JMI	C1099324	protein	null
gamma-Thrombin	C0017052	protein	null
Magnesium Sarcosylate	C0024479	protein	null
Sarcosine Hydrochloride	C0949416	protein	null
Sarcosine Monosodium Salt	C0949417	protein	null
Lebic	C1449610	protein	null
Gen-Baclofen	C1449611	protein	null
Baclofne-Irex	C1449613	protein	null
Atrofen	C1449614	protein	null
Apo-Baclofen	C1449615	protein	null
Baclofen AWD	C1449616	protein	null
Nu-Baclo	C1449608	protein	null
PMS-Baclofen	C1449609	protein	null
Ba-34,647	C0729183	protein	null
Clofen	C1449612	protein	null
gamma-interferon	C3539881	protein	null
L-Tryptophan-ratiopharm	C1564483	protein	null
Lyphan	C1564484	protein	null
PMS-Tryptophan	C1564485	protein	null
Ardeydorm	C1564481	protein	null
Trofan	C0740118	protein	null
Tryptacin	C0740120	protein	null
Tryptan	C0740119	protein	null
RU 49637	C0659677	protein	null
Ro-23-6019	C0919268	protein	null
S Amet	C1448336	protein	null
Samyr	C1448470	protein	null
Gumbaral	C0086378	protein	null
Amino Acid Chloromethyl Ketones	C0002512	protein	null
FK 009	C3658188	protein	null
Ac-ZVAD-FMK	C0971245	protein	null
Sabril	C0592085	protein	null
Sabrilex	C4704936	protein	null
Oculinum	C0700701	protein	null
Neuronox	C4704930	protein	null
Meditoxin	C2745432	protein	null
Vistabex	C5200832	protein	null
Vistabel	C5200833	protein	null
Priorix	C0732248	protein	null
roxadustat	C4310578	protein	null
Mabthera	C1314901	protein	null
IDEC-C2B8 Antibody	C0295415	protein	null
Rituxan	C0732355	protein	null
Pitressin	C0699128	protein	null
Becn1 protein, mouse	C1447699	protein	null
acetylleucyl-leucyl-norleucinal	C0081446	protein	null
anakinra	C0245109	protein	null
Antril	C0245110	protein	null
Leftose	C0023215	protein	null
TA 0910	C0084707	protein	null
(1-methyl-4,5-dihydroorotyl)-histidyl-prolinamide	C0087288	protein	null
S-ethyl glutathione	C0073870	protein	null
Dihydroxyphenylalanine Hydrochloride, (2:1)	C0949284	protein	null
binetrakin	C3486572	protein	null
PAMP(1-20)NH2	C0257633	protein	null
Xolair	C1174773	protein	null
Hermesetas Gold	C1257724	protein	null
Goldswite	C1257723	protein	null
Nozucar	C1257725	protein	null
Canderel	C1257722	protein	null
Milisucre	C1257726	protein	null
ado-trastuzumab emtansine	C2935436	protein	null
huN901-DM1	C1328107	protein	null
Herceptin	C0338204	protein	null
trastuzumab-qyyp	C4764376	protein	null
Trazimera	C4764377	protein	null
DS-8201a	C4287766	protein	null
trastuzumab deruxtecan	C4726900	protein	null
gonadorelin hydrochloride	C0701919	protein	null
Fenclonine Hydrobromide	C0887065	protein	null
Fenclonine, (D)-Isomer	C0887063	protein	null
Fenclonine (L)-Isomer	C0916751	protein	null
CP-10,188	C0729242	protein	null
Demser	C0591337	protein	null
alpha-Methyltyrosine Hydrochloride	C0949560	protein	null
Racemetirosine	C0949561	protein	null
Kryptocur	C0699450	protein	null
Dirigestran	C0699449	protein	null
gonadorelin acetate	C0701918	protein	null
Factrel	C0306166	protein	null
Cystorelin	C0308762	protein	null
magnesium pidolate	C0381600	protein	null
NN 2211	C1099192	protein	null
Victoza	C2732208	protein	null
Selenomethionine, (+,-)-Isomer	C0886959	protein	null
Selenomethionine, (S)-Isomer	C0886960	protein	null
Selenomethionine, (R)-Isomer	C0886958	protein	null
Selenomethionine Hydrochloride, (S)-Isomer	C0886961	protein	null
selenomethionine	C0036584	protein	null
Syntocinon	C0592155	protein	null
Pitocin	C0733348	protein	null
RWJ-22164	C0078129	protein	null
ORF-22164	C0285141	protein	null
NG-Nitroarginine Methyl Ester, D-Orn-Isomer	C0886628	protein	null
NG-Nitroarginine Methyl Ester, L-Orn-Isomer, Monohydrochloride	C0949558	protein	null
azzalure	C4310350	protein	null
O-desethyl-belnacasan	C5690704	protein	null
VX-765 hemiketal	C5690706	protein	null
VRT-043198	C5690705	protein	null
belnacasan	C5419285	protein	null
alpha-Amylases	C0002245	protein	null
Alpha-Amylase Bayer	C1564486	protein	null
Maxilase	C1564487	protein	null
Mégamylase	C1564488	protein	null
Tubulin Inhibitors	C1563758	protein	null
Angiotensin II, Ile(5)-	C0051871	protein	null
Angiotensin II, Val(5)-	C0750914	protein	null
Renitec	C0600128	protein	null
enalapril maleate	C0700452	protein	null
MK-421	C0014026	protein	null
Il1rn protein, mouse	C1505677	protein	null
4-(4-fluorophenyl)-2-(4-methylsulfinylphenyl)-5-(4-pyridyl)-1H-imidazole	C1434972	protein	null
sodium caseinate	C0037488	protein	null
alpha-casozepine	C4549174	protein	null
Sandostatin	C0678117	protein	null
SMS 201-995	C0728977	protein	null
octreotide acetate	C0724649	protein	null
Leuprolide Monoacetate	C0886797	protein	null
Leuprolide, (DL-Leu)-Isomer	C0886796	protein	null
TAP-144	C0086550	protein	null
Lupron	C0701459	protein	null
A-43818	C0701460	protein	null
Leuprolide, (L-Leu)-Isomer	C0886795	protein	null
Enantone	C0524775	protein	null
peptide YY (3-36)	C0070359	protein	null
incobotulinumtoxinA	C2930113	protein	null
Xeomin	C2744602	protein	null
NT 201	C1688539	protein	null
p-Aminosalicylic Acid Monosodium Salt	C0887058	protein	null
