Disease	Disease_id	Therapeutic_area	Therapeutic_area_id	
Pupil Disorders	C0034124	Disorder of eye	C0015397	
Malignant neoplasm of other specified sites of eye	C0153632	Disorder of eye	C0015397	
Glaucoma	C0017601	Disorder of eye	C0015397	
Rieger syndrome	C0265341	Disorder of eye	C0015397	
Dipetalonema Infections	C0012517	Disorder of eye	C0015397	
blindness or low vision (non-specific)	C0155020	Disorder of eye	C0015397	
Lacrimal Apparatus Diseases	C0022904	Disorder of eye	C0015397	
Disorder of visual pathways	C0155287	Disorder of eye	C0015397	
Loiasis	C0023968	Disorder of eye	C0015397	
Other degenerative disorders of globe	C0154780	Disorder of eye	C0015397	
Congenital ocular coloboma (disorder)	C0009363	Disorder of eye	C0015397	
Scleral Diseases	C0036412	Disorder of eye	C0015397	
Trachoma, active stage	C0153108	Disorder of eye	C0015397	
Lens Diseases	C0023308	Disorder of eye	C0015397	
Microphthalmos	C0026010	Disorder of eye	C0015397	
Amblyopia	C0002418	Disorder of eye	C0015397	
Neuroretinitis	C0154874	Disorder of eye	C0015397	
Corneal Diseases	C0010034	Disorder of eye	C0015397	
Cysticercosis	C0010678	Disorder of eye	C0015397	
Disorder of accommodation	C0152198	Disorder of eye	C0015397	
Ectopia Lentis with Ectopia of Pupil	C1644196	Disorder of eye	C0015397	
Pigmented Paravenous Chorioretinal Atrophy	C1868310	Disorder of eye	C0015397	
SVEINSSON CHORIORETINAL ATROPHY	C1862382	Disorder of eye	C0015397	
Cogan-Reese syndrome	C1168173	Disorder of eye	C0015397	
Oculovestibuloauditory syndrome	C0271270	Disorder of eye	C0015397	
Craniofacial Dysostosis	C0010273	Craniosynostosis	C0010278	
Muenke Syndrome	C1864436	Craniosynostosis	C0010278	
Macular edema due to diabetes mellitus	C0730285	Diabetic Retinopathy	C0011884	
Severe nonproliferative diabetic retinopathy	C0730278	Diabetic Retinopathy	C0011884	
Nonproliferative diabetic retinopathy	C0004606	Diabetic Retinopathy	C0011884	
Proliferative diabetic retinopathy	C0154830	Diabetic Retinopathy	C0011884	
Glycogen Storage Disease Type IIb	C0878677	Lysosomal Storage Diseases	C0085078	
Aspartylglucosaminuria	C0268225	Lysosomal Storage Diseases	C0085078	
Nephropathic cystinosis	C2931187	Lysosomal Storage Diseases	C0085078	
Mucopolysaccharidoses	C0026703	Lysosomal Storage Diseases	C0085078	
Fucosidase Deficiency Disease	C0016788	Lysosomal Storage Diseases	C0085078	
alpha-Mannosidosis	C0024748	Lysosomal Storage Diseases	C0085078	
beta-Mannosidosis	C4048196	Lysosomal Storage Diseases	C0085078	
Sialuria	C0342853	Lysosomal Storage Diseases	C0085078	
Other disorders of lipoid metabolism	C0029591	Lysosomal Storage Diseases	C0085078	
Congenital nystagmus	C0700501	Nystagmus	C0028738	
Dissociated Nystagmus	C0155380	Nystagmus	C0028738	
Spontaneous Ocular Nystagmus	C0271384	Nystagmus	C0028738	
Diplegia of upper limbs	C0154701	nervous system disorder	C0027765	
Non-Neoplastic Peripheral Nervous System Disorder	C1335029	nervous system disorder	C0027765	
Gerstmann Syndrome	C0017494	nervous system disorder	C0027765	
Autoimmune Diseases of the Nervous System	C0751871	nervous system disorder	C0027765	
CNS disorder	C0007682	nervous system disorder	C0027765	
Neuroepithelial, Perineurial, and Schwann Cell Neoplasm	C1334956	nervous system disorder	C0027765	
Other congenital anomalies of nervous system	C0158538	nervous system disorder	C0027765	
Neuroleptic Malignant Syndrome	C0027849	nervous system disorder	C0027765	
Neuroaspergillosis	C0752342	nervous system disorder	C0027765	
Locked-In Syndrome	C0023944	nervous system disorder	C0027765	
Behr syndrome	C0221061	nervous system disorder	C0027765	
dopamine beta hydroxylase deficiency	C0342687	nervous system disorder	C0027765	
Trichinellosis	C0040896	Helminthiasis	C0018889	
Monieziasis	C0026414	Helminthiasis	C0018889	
Fasciolopsiasis	C0015656	Helminthiasis	C0018889	
Fascioliasis	C0015652	Helminthiasis	C0018889	
Metagonimiasis	C0025530	Helminthiasis	C0018889	
Oxyuriasis	C0030100	Helminthiasis	C0018889	
Anisakiasis	C0162576	Helminthiasis	C0018889	
Ascariasis	C0003950	Helminthiasis	C0018889	
Oesophagostomiasis	C0028887	Helminthiasis	C0018889	
Ascaridiasis	C0003952	Helminthiasis	C0018889	
Toxascariasis	C0040522	Helminthiasis	C0018889	
Necatoriasis	C0027528	Helminthiasis	C0018889	
Echinococcosis	C0013502	Helminthiasis	C0018889	
Dracunculiasis	C0013100	Helminthiasis	C0018889	
Other specified schistosomiasis	C0029827	Helminthiasis	C0018889	
Opisthorchiasis	C0029106	Helminthiasis	C0018889	
Clonorchiasis	C0009021	Helminthiasis	C0018889	
Ancylostomiasis	C0002831	Helminthiasis	C0018889	
Trichostrongyloidiasis	C0040947	Helminthiasis	C0018889	
Infection by Trichuris trichiura	C0040954	Helminthiasis	C0018889	
Capillariasis	C0006897	Helminthiasis	C0018889	
Dicrocoeliasis	C0012102	Helminthiasis	C0018889	
Echinostomiasis	C0013514	Helminthiasis	C0018889	
Fascioloidiasis	C0015655	Helminthiasis	C0018889	
Gnathostomiasis	C0018013	Helminthiasis	C0018889	
Strongyloidiasis	C0038463	Helminthiasis	C0018889	
Filariasis	C0016085	Helminthiasis	C0018889	
Diphyllobothriasis	C0012561	Helminthiasis	C0018889	
Hymenolepiasis	C0020413	Helminthiasis	C0018889	
Taenia saginata infection	C0152073	Helminthiasis	C0018889	
Alternating esotropia	C0152205	Esotropia	C0014877	
Esotropia with accommodative compensation	C0155336	Esotropia	C0014877	
Monocular Esotropia	C0152204	Esotropia	C0014877	
Monocular Exotropia	C0152206	Exotropia	C0015310	
Alternating Exotropia	C0152207	Exotropia	C0015310	
Anterior Horn Cell Disease	C0154681	Spinal Muscular Atrophy	C0026847	
Arthrogryposis multiplex congenita, distal, X-linked	C1844934	Spinal Muscular Atrophy	C0026847	
Jankovic Rivera syndrome	C1834569	Spinal Muscular Atrophy	C0026847	
Spinal Muscular Atrophy, Distal, X-Linked 3	C1845359	Spinal Muscular Atrophy	C0026847	
Bulbo-Spinal Atrophy, X-Linked	C1839259	Spinal Muscular Atrophy	C0026847	
Spinal Muscular Atrophies of Childhood	C0700595	Spinal Muscular Atrophy	C0026847	
SPINAL MUSCULAR ATROPHY, TYPE IV	C1838230	Spinal Muscular Atrophy	C0026847	
Diabetic Neuropathies	C0011882	Neuropathy	C0442874	
Erythromelalgia	C0014804	Neuropathy	C0442874	
Axonal neuropathy	C0270921	Neuropathy	C0442874	
Cranial nerve diseases	C0010266	Neuropathy	C0442874	
Neuromuscular Diseases	C0027868	Neuropathy	C0442874	
Brachial Plexus Neuropathies	C0700251	Neuropathy	C0442874	
Inflammatory and toxic neuropathy	C0154758	Neuropathy	C0442874	
Sensory Neuropathy, Hereditary	C0699739	Neuropathy	C0442874	
Hereditary Motor and Sensory Neuropathies	C0027888	Neuropathy	C0442874	
Neuritis	C0027813	Neuropathy	C0442874	
Ischemic peripheral neuropathy	C0238309	Neuropathy	C0442874	
Mononeuropathies	C0494491	Neuropathy	C0442874	
Hereditary liability to pressure palsies	C0393814	Neuropathy	C0442874	
Sleep Apnea, Central	C0520680	Sleep Apnea Syndromes	C0037315	
Sleep Apnea, Mixed Central and Obstructive	C0338495	Sleep Apnea Syndromes	C0037315	
Sleep Apnea, Obstructive	C0520679	Sleep Apnea Syndromes	C0037315	
viral genome circularization	C4328842	Virus Diseases	C0042769	
viral genome circularization	C4328842	Virus Diseases	C0042769	
latency-replication decision	C4328939	Virus Diseases	C0042769	
latency-replication decision	C4328939	Virus Diseases	C0042769	
Prophage Induction	C0033462	Virus Diseases	C0042769	
viral tropism switching	C4328948	Virus Diseases	C0042769	
viral tropism switching	C4328948	Virus Diseases	C0042769	
virion maturation	C4317072	Virus Diseases	C0042769	
virion maturation	C4317072	Virus Diseases	C0042769	
virus particle maturation	C1750294	Virus Diseases	C0042769	
virus particle maturation	C1750294	Virus Diseases	C0042769	
superinfection exclusion	C4328955	Virus Diseases	C0042769	
superinfection exclusion	C4328955	Virus Diseases	C0042769	
virus baseplate assembly	C3548363	Virus Diseases	C0042769	
virus baseplate assembly	C3548363	Virus Diseases	C0042769	
viral head-tail joining	C3548389	Virus Diseases	C0042769	
phage head tail joining	C3546225	Virus Diseases	C0042769	
phage head tail joining	C3546225	Virus Diseases	C0042769	
virus tail fiber assembly	C3548390	Virus Diseases	C0042769	
virus tail fiber assembly	C3548390	Virus Diseases	C0042769	
viral tail assembly	C3548391	Virus Diseases	C0042769	
viral tail assembly	C3548391	Virus Diseases	C0042769	
bacteriophage tail assembly	C3546226	Virus Diseases	C0042769	
bacteriophage tail assembly	C3546226	Virus Diseases	C0042769	
viral RNA editing	C3821012	Virus Diseases	C0042769	
viral RNA editing	C3821012	Virus Diseases	C0042769	
cap snatching	C3821011	Virus Diseases	C0042769	
cap snatching	C3821011	Virus Diseases	C0042769	
viral translational termination-reinitiation	C3821010	Virus Diseases	C0042769	
viral translational termination-reinitiation	C3821010	Virus Diseases	C0042769	
ribosomal skipping	C3821009	Virus Diseases	C0042769	
ribosomal skipping	C3821009	Virus Diseases	C0042769	
viral translational frameshifting	C3821008	Virus Diseases	C0042769	
IRES-dependent viral translational initiation	C3821007	Virus Diseases	C0042769	
IRES-dependent viral translational initiation	C3821007	Virus Diseases	C0042769	
viral scaffold assembly and maintenance	C1160686	Virus Diseases	C0042769	
viral scaffold assembly and maintenance	C1160686	Virus Diseases	C0042769	
recruitment of helicase-primase complex to DNA lesions	C1158566	Virus Diseases	C0042769	
recruitment of helicase-primase complex to DNA lesions	C1158566	Virus Diseases	C0042769	
transport of virus	C1159788	Virus Diseases	C0042769	
transport of virus	C1159788	Virus Diseases	C0042769	
viral replication complex formation and maintenance	C1160710	Virus Diseases	C0042769	
viral capsid envelopment	C1160683	Virus Diseases	C0042769	
viral budding	C1160698	Virus Diseases	C0042769	
viral budding	C1160698	Virus Diseases	C0042769	
Virus Budding	C2717976	Virus Diseases	C0042769	
Virus Budding	C2717976	Virus Diseases	C0042769	
virion budding	C3820832	Virus Diseases	C0042769	
virus budding from Golgi membrane during viral capsid re-envelopment	C3820831	Virus Diseases	C0042769	
Golgi membrane viral budding during viral capsid re-envelopment	C3820829	Virus Diseases	C0042769	
Golgi membrane viral budding during viral capsid re-envelopment	C3820829	Virus Diseases	C0042769	
viral budding from Golgi membrane during viral capsid re-envelopment	C3820830	Virus Diseases	C0042769	
viral budding from Golgi membrane during viral capsid re-envelopment	C3820830	Virus Diseases	C0042769	
virus budding from outer nuclear membrane during viral capsid re-envelopment	C3154936	Virus Diseases	C0042769	
virus budding from outer nuclear membrane during viral capsid re-envelopment	C3154936	Virus Diseases	C0042769	
viral budding from nuclear membrane during viral capsid re-envelopment	C3154932	Virus Diseases	C0042769	
viral capsid secondary envelopment	C1160684	Virus Diseases	C0042769	
viral capsid secondary envelopment	C1160684	Virus Diseases	C0042769	
plasma membrane viral budding during viral capsid re-envelopment	C1160680	Virus Diseases	C0042769	
plasma membrane viral budding during viral capsid re-envelopment	C1160680	Virus Diseases	C0042769	
viral genome integration into host DNA	C3820803	Virus Diseases	C0042769	
fusion of viral membrane with host outer nuclear membrane	C3820731	Virus Diseases	C0042769	
polyadenylation of viral mRNA by polymerase stuttering	C3820729	Virus Diseases	C0042769	
viral membrane-penetration protein	C3820691	Virus Diseases	C0042769	
viral entry into host cell via permeabilization of host organelle membrane	C3820690	Virus Diseases	C0042769	
viral entry into host cell via permeabilization of host organelle membrane	C3820690	Virus Diseases	C0042769	
permeabilization of host organelle membrane involved in viral entry into host cell	C3820689	Virus Diseases	C0042769	
permeabilization of host organelle membrane involved in viral entry into host cell	C3820689	Virus Diseases	C0042769	
viral membrane-lytic protein	C3820688	Virus Diseases	C0042769	
viral membrane-lytic protein	C3820688	Virus Diseases	C0042769	
viral entry into host cell via lysis of host organelle membrane	C3820687	Virus Diseases	C0042769	
viral entry into host cell via endosome membrane lysis	C3820686	Virus Diseases	C0042769	
lysis of host organelle involved in viral entry into host cell	C3820685	Virus Diseases	C0042769	
viral entry into host cell via membrane fusion	C3820684	Virus Diseases	C0042769	
viral entry into host cell via membrane fusion	C3820684	Virus Diseases	C0042769	
fusion of virus membrane with host membrane	C3820683	Virus Diseases	C0042769	
membrane fusion involved in viral entry into host cell	C3820682	Virus Diseases	C0042769	
Viral Transcription	C1158817	Virus Diseases	C0042769	
Viral Transcription	C1158817	Virus Diseases	C0042769	
viral protein processing	C1159314	Virus Diseases	C0042769	
viral protein processing	C1159314	Virus Diseases	C0042769	
viral translation	C1157569	Virus Diseases	C0042769	
viral translation	C1157569	Virus Diseases	C0042769	
viral gene expression	C1160700	Virus Diseases	C0042769	
viral gene expression	C1160700	Virus Diseases	C0042769	
sigma virus replication	C1326937	Virus Diseases	C0042769	
viral genome replication	C1160701	Virus Diseases	C0042769	
bacteriophage maturation	C3820514	Virus Diseases	C0042769	
bacteriophage maturation	C3820514	Virus Diseases	C0042769	
virus maturation	C1160692	Virus Diseases	C0042769	
virus maturation	C1160692	Virus Diseases	C0042769	
Viral Genome Packaging	C1160689	Virus Diseases	C0042769	
Viral Genome Packaging	C1160689	Virus Diseases	C0042769	
viral genome maturation	C1160687	Virus Diseases	C0042769	
viral genome maturation	C1160687	Virus Diseases	C0042769	
viral capsid assembly	C1160682	Virus Diseases	C0042769	
viral capsid assembly	C1160682	Virus Diseases	C0042769	
phage assembly	C1327633	Virus Diseases	C0042769	
phage assembly	C1327633	Virus Diseases	C0042769	
Virus Assembly	C0282629	Virus Diseases	C0042769	
Virus Assembly	C0282629	Virus Diseases	C0042769	
Virus Uncoating	C1160657	Virus Diseases	C0042769	
Virus Uncoating	C1160657	Virus Diseases	C0042769	
lytic viral life cycle	C1326893	Virus Diseases	C0042769	
lytic viral life cycle	C1326893	Virus Diseases	C0042769	
Virus Replication	C0042774	Virus Diseases	C0042769	
viral assembly, maturation, egress, and release	C1160658	Virus Diseases	C0042769	
viral assembly, maturation, egress, and release	C1160658	Virus Diseases	C0042769	
Viral life cycle	C1160638	Virus Diseases	C0042769	
Virus Activation	C0042767	Virus Diseases	C0042769	
Virus Activation	C0042767	Virus Diseases	C0042769	
latent virus replication	C1160641	Virus Diseases	C0042769	
maintenance of viral latency	C1160640	Virus Diseases	C0042769	
maintenance of viral latency	C1160640	Virus Diseases	C0042769	
establishment of viral latency	C1160639	Virus Diseases	C0042769	
latent virus infection process	C0596824	Virus Diseases	C0042769	
Hemorrhagic Fever, Omsk	C0019103	Virus Diseases	C0042769	
Yellow Fever	C0043395	Virus Diseases	C0042769	
Venezuelan equine encephalomyelitis	C0014078	Virus Diseases	C0042769	
Lassa Fever	C0023092	Virus Diseases	C0042769	
Subacute Sclerosing Panencephalitis	C0038522	Virus Diseases	C0042769	
Cowpox	C0010232	Virus Diseases	C0042769	
Molluscum Contagiosum	C0026393	Virus Diseases	C0042769	
Ecthyma, Contagious	C0013570	Virus Diseases	C0042769	
Smallpox	C0037354	Virus Diseases	C0042769	
Milker's Nodes	C0026143	Virus Diseases	C0042769	
Other specified viral exanthemata	C0029841	Virus Diseases	C0042769	
Chickenpox	C0008049	Virus Diseases	C0042769	
Prostate Kaposi Sarcoma	C1335509	Virus Diseases	C0042769	
Measles	C0025007	Virus Diseases	C0042769	
Herpes simplex infection	C0019348	Virus Diseases	C0042769	
Herpes zoster disease	C0019360	Virus Diseases	C0042769	
Influenza	C0021400	Virus Diseases	C0042769	
Leukoencephalopathy, Progressive Multifocal	C0023524	Virus Diseases	C0042769	
Viral esophagitis	C0341110	Virus Diseases	C0042769	
Focal Epithelial Hyperplasia	C0206067	Virus Diseases	C0042769	
HIV Infections	C0019693	Virus Diseases	C0042769	
Borna Disease	C0006023	Virus Diseases	C0042769	
Poliomyelitis	C0032371	Virus Diseases	C0042769	
Colorado Tick Fever	C0009400	Virus Diseases	C0042769	
Hepatitis E	C0085293	Virus Diseases	C0042769	
Marburg Virus Disease	C0024788	Virus Diseases	C0042769	
Hemorrhagic Fever, Ebola	C0282687	Virus Diseases	C0042769	
Vaccinia	C0042214	Virus Diseases	C0042769	
Monkeypox (disorder)	C0276180	Virus Diseases	C0042769	
Tropical Spastic Paraparesis	C0030481	Virus Diseases	C0042769	
Epstein-Barr Virus Infections	C0149678	Virus Diseases	C0042769	
Aleutian Mink Disease	C0002016	Virus Diseases	C0042769	
Newcastle Disease	C0027983	Virus Diseases	C0042769	
West Nile Fever	C0043124	Virus Diseases	C0042769	
Viral gastritis	C0563238	Virus Diseases	C0042769	
Hepatitis D Infection	C0011226	Virus Diseases	C0042769	
Hepatitis B	C0019163	Virus Diseases	C0042769	
Hepatitis, Viral, Animal	C0019194	Virus Diseases	C0042769	
Hepatitis C	C0019196	Virus Diseases	C0042769	
Hantavirus Pulmonary Syndrome	C0243025	Virus Diseases	C0042769	
Pharyngo-Conjunctival Fever	C0031351	Virus Diseases	C0042769	
Plantar wart	C0042548	Virus Diseases	C0042769	
Rift Valley Fever	C0035613	Virus Diseases	C0042769	
Respiratory Syncytial Virus Infections	C0035235	Virus Diseases	C0042769	
Hepatitis A	C0019159	Virus Diseases	C0042769	
Viral labyrinthitis	C0155508	Virus Diseases	C0042769	
Hemorrhagic Fever, Crimean	C0019099	Virus Diseases	C0042769	
Dengue Fever	C0011311	Virus Diseases	C0042769	
Phlebotomus Fever	C0030372	Virus Diseases	C0042769	
Kyasanur Forest Disease	C0022810	Virus Diseases	C0042769	
Hemorrhagic Fever with Renal Syndrome	C0019101	Virus Diseases	C0042769	
Rabies (disorder)	C0034494	Virus Diseases	C0042769	
Conjunctivitis, Acute Hemorrhagic	C0009765	Virus Diseases	C0042769	
Anogenital human papillomavirus infection	C0554632	Virus Diseases	C0042769	
wartlike skin lesion	C0043037	Virus Diseases	C0042769	
Herpangina	C0019338	Virus Diseases	C0042769	
Pleurodynia, Epidemic	C0032238	Virus Diseases	C0042769	
Hand, Foot and Mouth Disease	C0018572	Virus Diseases	C0042769	
Encephalitis, St. Louis	C0014060	Virus Diseases	C0042769	
Pneumonia, Viral	C0032310	Virus Diseases	C0042769	
Louping Ill	C0024025	Virus Diseases	C0042769	
Adult T-Cell Lymphoma/Leukemia	C0023493	Virus Diseases	C0042769	
Exanthema Subitum	C0015231	Virus Diseases	C0042769	
Encephalitis, Central European	C0014054	Virus Diseases	C0042769	
Cerebellar Degenerations, Primary	C0033132	Degenerative disorder	C1285162	
Tauopathies	C0949664	Degenerative disorder	C1285162	
Plexopathy	C1335437	Degenerative disorder	C1285162	
Motor Neuron Disease	C0085084	Degenerative disorder	C1285162	
Olivopontocerebellar Atrophies	C0028968	Degenerative disorder	C1285162	
Secondary Parkinson Disease	C0030569	Degenerative disorder	C1285162	
Huntington Disease	C0020179	Degenerative disorder	C1285162	
Myoclonic Cerebellar Dyssynergia	C0007761	Degenerative disorder	C1285162	
Pick Disease of the Brain	C0236642	Degenerative disorder	C1285162	
Amyotrophic Lateral Sclerosis, Guam Form	C0543859	Degenerative disorder	C1285162	
Neurodegeneration with brain iron accumulation (NBIA)	C2931845	Degenerative disorder	C1285162	
Childhood-onset motor and cognitive regression syndrome with extrapyramidal movement disorder	C5567227	Degenerative disorder	C1285162	
Congenital pontocerebellar hypoplasia	C0266468	Degenerative disorder	C1285162	
Cerebral Amyloid Angiopathy, Genetic	C1956349	Amyloidosis	C0002726	
Extratemporal epilepsy	C0270849	Epilepsy	C0014544	
Epilepsies, Partial	C0014547	Epilepsy	C0014544	
Epilepsy, Generalized	C0014548	Epilepsy	C0014544	
Status Epilepticus	C0038220	Epilepsy	C0014544	
Visual seizure	C0270824	Epilepsy	C0014544	
Epilepsy, X-Linked, with Variable Learning Disabilities and Behavior Disorders	C1845343	Epilepsy	C0014544	
Lipoatrophic Diabetes Mellitus	C0011859	Diabetes Mellitus, Non-Insulin-Dependent	C0011860	
Retinoschisis	C0152439	Retinal Degeneration	C0035304	
Macular degeneration	C0024437	Retinal Degeneration	C0035304	
Peripheral retinal degeneration	C1320640	Retinal Degeneration	C0035304	
RETINITIS PIGMENTOSA 1	C0220701	Retinal Degeneration	C0035304	
Alzheimer's Disease	C0002395	Tauopathies	C0949664	
MASA syndrome	C0795953	Spastic Paraplegia, Hereditary	C0037773	
Overnutrition	C1257763	Nutrition Disorders	C3714509	
Deficiency Diseases	C0011156	Nutrition Disorders	C3714509	
Multiple Sclerosis, Relapsing-Remitting	C0751967	Multiple Sclerosis	C0026769	
Diffuse Cerebral Sclerosis of Schilder	C0007795	Multiple Sclerosis	C0026769	
Multiple Sclerosis, Progressive Relapsing	C0393666	Multiple Sclerosis	C0026769	
Multiple Sclerosis, Primary Progressive	C0751964	Multiple Sclerosis	C0026769	
Multiple Sclerosis, Secondary Progressive	C0751965	Multiple Sclerosis	C0026769	
Benign congenital myopathy	C0699741	Muscular Dystrophy	C0026850	
Myotonic Disorders	C0553604	Muscular Dystrophy	C0026850	
Muscular Dystrophy, Facioscapulohumeral	C0238288	Muscular Dystrophy	C0026850	
Muscular Dystrophy, Emery-Dreifuss	C0410189	Muscular Dystrophy	C0026850	
Muscular Dystrophies, Limb-Girdle	C0686353	Muscular Dystrophy	C0026850	
Muscular Dystrophy, Duchenne	C0013264	Muscular Dystrophy	C0026850	
Distal Muscular Dystrophies	C0751336	Muscular Dystrophy	C0026850	
Muscular Dystrophy, Oculopharyngeal	C0270952	Muscular Dystrophy	C0026850	
Congenital hereditary muscular dystrophy	C2937300	Muscular Dystrophy	C0026850	
Night Blindness	C0028077	Retinal Diseases	C0035309	
Macular Holes	C0024441	Retinal Diseases	C0035309	
Retinal Edema	C0242420	Retinal Diseases	C0035309	
Nerve fiber bundle defect	C0474334	Retinal Diseases	C0035309	
Retinal Detachment	C0035305	Retinal Diseases	C0035309	
Retinal Neoplasms	C0524801	Retinal Diseases	C0035309	
Retinitis	C0035333	Retinal Diseases	C0035309	
Retinal Vascular Disorder	C0154833	Retinal Diseases	C0035309	
Leber Congenital Amaurosis	C0339527	Retinal Diseases	C0035309	
Rubeosis iridis	C0154916	Retinal Diseases	C0035309	
Angioid Streaks	C0002982	Retinal Diseases	C0035309	
Retinopathy of Prematurity	C0035344	Retinal Diseases	C0035309	
Hypertensive Retinopathy	C0152132	Retinal Diseases	C0035309	
Chorioretinal scar	C0008512	Retinal Diseases	C0035309	
Fleck Retina, Familial Benign	C1856718	Retinal Diseases	C0035309	
Prolonged Electroretinal Response Suppression	C1842073	Retinal Diseases	C0035309	
Peripheral motor neuropathy	C0235025	Motor Neuron Disease	C0085084	
Bulbar Palsy, Progressive	C0030442	Motor Neuron Disease	C0085084	
Amyotrophic Lateral Sclerosis	C0002736	Motor Neuron Disease	C0085084	
Progressive Muscular Atrophy	C0917981	Motor Neuron Disease	C0085084	
Lateral Sclerosis	C0154682	Motor Neuron Disease	C0085084	
Spinal Muscular Atrophy	C0026847	Motor Neuron Disease	C0085084	
Scapuloperoneal Form of Spinal Muscular Atrophy	C0751335	Motor Neuron Disease	C0085084	
Obesity, Morbid	C0028756	Obesity	C0028754	
Nelson Syndrome	C0027577	Adrenal Cortex Diseases	C0001614	
Adrenal cortical hypofunction	C0405580	Adrenal Cortex Diseases	C0001614	
Pigmented Nodular Adrenocortical Disease, Primary, 2	C1864851	Adrenal Cortex Diseases	C0001614	
Osteitis Deformans	C0029401	Hyperostosis	C0020492	
Exostoses	C1442903	Hyperostosis	C0020492	
Worth disease	C0432273	Hyperostosis	C0020492	
Sclerosteosis	C0265301	Hyperostosis	C0020492	
Partial optic atrophy	C0155295	Optic Atrophy	C0029124	
Primary optic atrophy	C0155291	Optic Atrophy	C0029124	
Glaucomatous atrophy of optic disc	C0271342	Optic Atrophy	C0029124	
OPTIC ATROPHY AND CATARACT, AUTOSOMAL DOMINANT	C1833809	Optic Atrophy	C0029124	
Intestinal disaccharidase deficiencies and disaccharide malabsorption	C0021830	Intestinal Diseases	C0021831	
Functional disorder of intestine	C0016807	Intestinal Diseases	C0021831	
Irritable Bowel Syndrome	C0022104	Intestinal Diseases	C0021831	
Duodenitis	C0013298	Intestinal Diseases	C0021831	
