Drug	Drug_id	RELATION	PROVENANCE	Gene	Gene_id
Tetrahydrocannabinol	C0039663	COEXISTS_WITH	["34389427_fullText_7"]	CFP gene	C1418482
Tetrahydrocannabinol	C0039663	INHIBITS	["35976913_fullText_8"]	CSN2 gene	C1384512
Tetrahydrocannabinol	C0039663	STIMULATES	["33998869_fullText_5"]	CNR2 gene	C1413555
Tetrahydrocannabinol	C0039663	STIMULATES	["36943159_fullText_3","36752668_fullText_3"]	ANLN gene	C1422396
Tetrahydrocannabinol	C0039663	STIMULATES	["33845076_fullText_6"]	SBDS gene	C1426244
Tetrahydrocannabinol	C0039663	STIMULATES	["36529297_fullText_9","37644761_fullText_2"]	CNR1 gene	C1413554
Marihuana	C0024808	COEXISTS_WITH	["34389427_fullText_4"]	CFP gene	C1418482
Marihuana	C0024808	COEXISTS_WITH	["34680044_fullText_6"]	CEL gene	C1413336
Marihuana	C0024808	COEXISTS_WITH	["35051702_fullText_4"]	TCFL5 gene	C1420648
Marihuana	C0024808	STIMULATES	["37543275_fullText_2"]	CNR2 gene	C1413555
Marihuana	C0024808	STIMULATES	["34012003_fullText_3","37543275_fullText_2"]	CNR1 gene	C1413554
Hallucinogens	C0018533	STIMULATES	["37474114_fullText_1"]	TRIM32 gene	C1424232
Psilocybine	C0033850	STIMULATES	["36807609_fullText_3"]	IMPACT gene	C1825598
Dexmedetomidine	C0113293	INHIBITS	["36613961_fullText_6"]	MALAT1 gene	C1537647
Escitalopram	C1099456	COEXISTS_WITH	["36164782_fullText_4"]	CYP2C19 gene	C1332828
Escitalopram	C1099456	COEXISTS_WITH	["35660811_fullText_8"]	PPARGC1B gene	C1428918
Escitalopram	C1099456	COEXISTS_WITH	["36164782_fullText_4"]	CYP2D6 gene	C1332830
Escitalopram	C1099456	COEXISTS_WITH	["36164782_fullText_4"]	SLC6A4 gene	C1420214
Escitalopram	C1099456	compared_with	["38001423_fullText_2"]	RAB3D gene	C1419208
Cholinesterase Inhibitors	C0008425	INHIBITS	["34461507_fullText_4"]	HTR6 gene	C1415815
Cholinesterase Inhibitors	C0008425	INHIBITS	["37406982_fullText_7"]	BACE1 gene	C1412727
Hydrocortisone	C0020268	STIMULATES	["34418746_fullText_7"]	STX2 gene	C1823140
temozolomide	C0076080	COEXISTS_WITH	["37389718_fullText_3"]	SRL gene	C1420403
Imipramine	C0020934	STIMULATES	["34571049_fullText_3"]	GRM5 gene	C1333712
Phenylalanine	C0031453	PART_OF	["38091797_fullText_5"]	EHD1 wt Allele	C4284302
Phenylalanine	C0031453	PART_OF	["33766497_fullText_5","33766497_fullText_7","31433494_fullText_4","15369715_fullText_3"]	LRP2 wt Allele	C3811119
Phenylalanine	C0031453	PART_OF	["19277893_fullText_5"]	THEMIS gene	C1427618
Phenylalanine	C0031453	PART_OF	["6186515_fullText_4"]	SMAD5-AS1 gene	C2239937
Phenylalanine	C0031453	PART_OF	["9434741_fullText_6"]	STMN1 gene	C1416797
Phenylalanine	C0031453	PART_OF	["32519510_fullText_4"]	DNAJC12 gene	C1539297
Phenylalanine	C0031453	PART_OF	["38068761_abstract_24","33766497_fullText_7"]	IMPACT gene	C1825598
Phenylalanine	C0031453	COEXISTS_WITH	["36296952_fullText_4"]	AKR1A1 wt Allele	C3715044
Phenylalanine	C0031453	COEXISTS_WITH	["8353710_fullText_8"]	C7orf49 gene	C1824234
Phenylalanine	C0031453	COEXISTS_WITH	["32800687_fullText_2","32800687_fullText_4"]	DNAJC12 gene	C1539297
Phenylalanine	C0031453	COEXISTS_WITH	["36768810_fullText_3","36127606_fullText_1","32245393_fullText_3","24028903_fullText_2","23673571_fullText_1","23673571_fullText_3","23397086_fullText_5","23397086_fullText_6","15369715_fullText_5"]	LRP2 wt Allele	C3811119
Phenylalanine	C0031453	COEXISTS_WITH	["37553307_fullText_1"]	PAH gene	C1418251
Phenylalanine	C0031453	INHIBITS	["17515837_fullText_5"]	RHOA gene	C0812234
Phenylalanine	C0031453	INHIBITS	["17515837_fullText_5"]	RAC1 gene	C1419227
Phenylalanine	C0031453	INHIBITS	["19946178_fullText_4"]	TTR gene	C1421224
Phenylalanine	C0031453	INHIBITS	["37848450_fullText_36"]	DDOST gene	C1413949
Phenylalanine	C0031453	compared_with	["29520738_fullText_3"]	Wild Type	C1883559
Phenylalanine	C0031453	compared_with	["29628378_fullText_4"]	AES gene	C1412268
Phenylalanine	C0031453	compared_with	["38142628_fullText_4"]	MNT gene	C1417222
Phenylalanine	C0031453	higher_than	["38142628_fullText_4"]	MNT gene	C1417222
Dopamine Antagonists	C0242702	PART_OF	["37491763_fullText_11"]	DRD2 gene	C1333253
Phenylephrine	C0031469	COEXISTS_WITH	["36927146_fullText_3"]	IMPACT gene	C1825598
Anticholinergic Agents	C0242896	STIMULATES	["35428429_fullText_2","35781322_fullText_5"]	EEF1B2P2 gene	C1414290
Anticholinergic Agents	C0242896	STIMULATES	["34911424_fullText_4"]	NGF gene	C1417719
Paroxetine	C0070122	COEXISTS_WITH	["37012633_fullText_6"]	PRB1 gene	C1418866
Paroxetine	C0070122	INHIBITS	["34662565_fullText_8"]	KCNA3 gene	C1416546
Norepinephrine re-uptake inhibitor	C1319313	COEXISTS_WITH	["34240839_fullText_4"]	WASF1 gene	C1421479
Norepinephrine re-uptake inhibitor	C1319313	compared_with	["35174411_fullText_10"]	IMPACT gene	C1825598
Proton Pump Inhibitors	C0358591	COEXISTS_WITH	["36585832_fullText_11"]	SPNS1 gene	C2240043
Proton Pump Inhibitors	C0358591	INHIBITS	["35968582_fullText_6"]	FASN gene	C1367441
Proton Pump Inhibitors	C0358591	INHIBITS	["34213594_fullText_5"]	ALPL gene	C1412364
Proton Pump Inhibitors	C0358591	COEXISTS_WITH__SPEC__	["37874311_fullText_5"]	FAM64A gene	C1825121
Ticagrelor	C1999375	COEXISTS_WITH	["37466284_fullText_1"]	CALD1 wt Allele	C3813548
Ticagrelor	C1999375	COEXISTS_WITH	["35961855_fullText_1"]	P2RY12 gene	C1425330
Ticagrelor	C1999375	COEXISTS_WITH	["34708996_fullText_1"]	CYP2C19 gene	C1332828
Ticagrelor	C1999375	INHIBITS	["34283374_fullText_4"]	SLC29A1 gene	C1420171
Ticagrelor	C1999375	INHIBITS	["33819246_fullText_1","37589138_fullText_4","35514270_fullText_7","34918066_fullText_17"]	P2RY12 gene	C1425330
Ticagrelor	C1999375	INTERACTS_WITH__SPEC__	["34283374_fullText_1"]	P2RY12 gene	C1425330
clopidogrel	C0070166	COEXISTS_WITH	["37466284_fullText_1"]	CALD1 wt Allele	C3813548
clopidogrel	C0070166	COEXISTS_WITH	["34708996_fullText_1","35033458_fullText_1"]	CYP2C19 gene	C1332828
clopidogrel	C0070166	COEXISTS_WITH	["36743859_fullText_8"]	P2RY12 gene	C1425330
clopidogrel	C0070166	INHIBITS	["35678974_fullText_1","36631918_fullText_1"]	P2RY12 gene	C1425330
prasugrel	C1620287	COEXISTS_WITH	["37466284_fullText_1"]	CALD1 wt Allele	C3813548
prasugrel	C1620287	INHIBITS	["36631918_fullText_1","35514270_fullText_7","34918066_fullText_17"]	P2RY12 gene	C1425330
8-Hydroxy-2-(di-n-propylamino)tetralin	C0050079	COEXISTS_WITH	["33862061_fullText_4"]	ETM2 gene	C1414475
fostriecin	C0118175	INHIBITS	["36368443_fullText_6"]	CFP gene	C1418482
fostriecin	C0118175	STIMULATES	["34568977_fullText_4","34498115_fullText_4"]	STX2 gene	C1823140
Progesterone	C0033308	STIMULATES	["10343282_fullText_10"]	HSD17B4 gene	C1415740
Methamphetamine	C0025611	STIMULATES	["35788684_fullText_8"]	CFP gene	C1418482
Trazodone	C0040805	INHIBITS	["37243798_fullText_1"]	HCRTR2 gene	C1415502
AM 251	C0534009	INHIBITS	["35093468_fullText_4"]	CNR1 gene	C1413554
Sugammadex	C1700695	INHIBITS	["37933001_fullText_2"]	PPCS gene	C1826654
Corticosterone	C0010124	STIMULATES	["35977861_fullText_6"]	PENK gene	C1418457
Hydroxyindoleacetic Acid	C0020361	COEXISTS_WITH	["26653793_fullText_7"]	Wild Type	C1883559
5-Hydroxytryptophan	C0000578	PART_OF	["23660475_fullText_7"]	GCH1 gene	C1415012
Curcumin	C0010467	STIMULATES	["35032552_fullText_7"]	CNR1 gene	C1413554
Psychostimulant	C0304403	INHIBITS	["37446929_fullText_4"]	SLC6A3 wt Allele	C3813713
Psychostimulant	C0304403	INTERACTS_WITH	["34515205_fullText_2","36730201_fullText_1"]	SLC6A3 wt Allele	C3813713
Almorexant	C1871407	INHIBITS	["36436175_fullText_5"]	HCRTR1 gene	C1415501
Adrenergic Agonists	C0001648	COEXISTS_WITH	["31220253_fullText_8"]	COLQ gene	C1413603
lurasidone	C2003424	INHIBITS	["36768393_fullText_3"]	HTR7 gene	C1415816
lurasidone	C2003424	INHIBITS	["34348620_fullText_1"]	TRIM32 gene	C1424232
Serotonin Antagonists	C0036753	INHIBITS	["33961287_fullText_3"]	DRD2 gene	C1333253
Agomelatine	C0971637	STIMULATES	["34453945_fullText_8"]	NOTCH1 gene	C1334889
Mirtazapine	C0049506	INHIBITS	["37243798_fullText_1"]	HCRTR2 gene	C1415502
formoterol	C0060657	INHIBITS	["34341099_fullText_6"]	EGR1 gene	C1414314
Adrenergic beta-Agonists	C0001644	COEXISTS_WITH	["31773638_fullText_8","29865088_fullText_2"]	COLQ gene	C1413603
Adrenergic beta-Agonists	C0001644	COEXISTS_WITH	["29865088_fullText_2"]	DOK7 gene	C1824957
Albuterol	C0001927	COEXISTS_WITH	["23790237_fullText_1"]	DOK7 gene	C1824957
Albuterol	C0001927	COEXISTS_WITH	["31773638_fullText_8","31220253_fullText_5"]	COLQ gene	C1413603
Albuterol	C0001927	STIMULATES	["33940111_fullText_2"]	SLC12A3 gene	C1420092
Albuterol	C0001927	compared_with	["34530132_fullText_3"]	LAMA1 gene	C1416775
quetiapine	C0123091	INHIBITS	["34509568_fullText_9"]	CDK9 gene	C1413290
Pimozide	C0031935	STIMULATES	["34536428_fullText_7"]	EGR1 gene	C1414314
Sulpiride	C0038803	COEXISTS_WITH	["34662693_fullText_4","34662693_fullText_5"]	NLRP1 wt Allele	C3538756
Sulpiride	C0038803	INHIBITS	["34662693_fullText_6"]	IMPACT gene	C1825598
Sulpiride	C0038803	INHIBITS	["33862125_fullText_6"]	DRD2 gene	C1333253
Tiapride	C0040180	INHIBITS	["34015443_fullText_6"]	IFNG gene	C1334085
Tiapride	C0040180	INHIBITS	["34015443_fullText_6"]	ACACA wt Allele	C3541413
carvedilol	C0054836	COEXISTS_WITH	["36897563_fullText_6"]	EVL gene	C1426797
carvedilol	C0054836	INHIBITS	["33910429_fullText_5"]	CYP2D6 gene	C1332830
carvedilol	C0054836	compared_with	["36897563_fullText_5"]	EVL gene	C1426797
carvedilol	C0054836	higher_than	["36897563_fullText_5"]	EVL gene	C1426797
Opioids	C0242402	STIMULATES	["35032552_fullText_8"]	MGLL gene	C1442515
tamsulosin	C0257343	COEXISTS_WITH	["34751931_fullText_3"]	CYP2D6 gene	C1332830
Suvorexant	C3179535	INHIBITS	["34330170_fullText_2","37243798_fullText_1","36928850_fullText_4","35868501_fullText_1","35554590_fullText_3","37931704_fullText_6"]	HCRTR2 gene	C1415502
Pentazocine	C0030873	INHIBITS	["34597607_fullText_2"]	OPRK1 gene	C1417963
Oxidopamine	C0085196	INHIBITS	["34185060_fullText_8"]	ATOX1 gene	C1412627
Oxidopamine	C0085196	INHIBITS	["34185060_fullText_8"]	ATP7A gene	C1412688
paraform	C0070066	COEXISTS_WITH	["26940433_fullText_122","32368833_fullText_141","9382874_fullText_58","24792155_fullText_27","26515653_fullText_114"]	TSPO gene	C1823521
Quercetin	C0034392	STIMULATES	["36235240_fullText_7"]	SYK gene	C1335892
Aspartame	C0003999	PRODUCES	["33672234_fullText_8"]	IMPACT gene	C1825598
Hypnotics and Sedatives	C0020592	COEXISTS_WITH	["35472683_fullText_5"]	CPB2 gene	C1413666
Hypnotics and Sedatives	C0020592	STIMULATES	["36443270_fullText_1"]	HIF1A wt Allele	C1704838
Levobunolol	C0006388	INHIBITS	["34863129_fullText_6"]	KRT3 gene	C1416740
Fluorouracil	C0016360	STIMULATES	["37833878_fullText_11"]	FOXM1 wt Allele	C3538717
Aldehydes	C0001992	INHIBITS	["35790065_fullText_5"]	MBNL1 gene	C1417055
AM 630	C0298440	STIMULATES	["36058263_fullText_9"]	BAX gene	C0812198
AM 630	C0298440	INHIBITS	["36058263_fullText_2"]	CNR2 gene	C1413555
Ellagic Acid	C0013900	INHIBITS	["34332286_fullText_6"]	BACE1 gene	C1412727
2,2'-azino-di-(3-ethylbenzothiazoline)-6-sulfonic acid	C0045246	INHIBITS	["33806197_fullText_3"]	LPO gene	C1416903
fasudil	C0062068	INHIBITS	["34033116_fullText_14"]	ROCK2 gene	C1419598
Hydroxymethylglutaryl-CoA Reductase Inhibitors	C0360714	INHIBITS	["37057874_fullText_9"]	FOXM1 gene	C1414685
Methylphenidate	C0025810	COEXISTS_WITH	["34118233_fullText_8"]	SPTA1 gene	C1420385
Methylphenidate	C0025810	INTERACTS_WITH__SPEC__	["35661631_fullText_9"]	CFP gene	C1418482
Monoamine Oxidase Inhibitors	C0026457	INHIBITS	["35362382_fullText_4"]	EPR1 gene	C1414436
3,4-Dihydroxyphenylacetic Acid	C0000376	COEXISTS_WITH	["34774992_fullText_5"]	NLRP1 wt Allele	C3538756
3,4-Dihydroxyphenylacetic Acid	C0000376	COEXISTS_WITH	["34774992_fullText_5"]	CFP gene	C1418482
3,4-Dihydroxyphenylacetic Acid	C0000376	COEXISTS_WITH	["34774992_fullText_5"]	CPB2 gene	C1413666
Sulfonamides	C0038760	STIMULATES	["36690040_fullText_5"]	HCRTR2 gene	C1415502
Pyridostigmine Bromide	C0034262	COEXISTS_WITH	["20431904_fullText_8"]	Alleles	C0002085
CDPPB	C1743791	COEXISTS_WITH	["34710401_fullText_1"]	CFP gene	C1418482
BA 2	C0658102	INHIBITS	["34710401_fullText_7"]	CFP gene	C1418482
Melatonin receptor agonists, hypnotics and sedatives	C3541970	INHIBITS	["36150811_fullText_4","37218390_fullText_4"]	HCRTR2 gene	C1415502
Colforsin	C0917964	INHIBITS	["34919904_fullText_7"]	ASIC1 gene	C1412115
Ritanserin	C0085260	STIMULATES	["34700241_fullText_5"]	PAX6 gene	C1418276
Purinergic Agonists	C2936567	STIMULATES	["34695768_fullText_3"]	STAT3 gene	C1367307
compound 17	C0605315	INHIBITS	["34461507_fullText_4"]	HTR6 gene	C1415815
MAO B Inhibitors, dopaminergic anti-parkinson drugs	C3653412	COEXISTS_WITH	["37935702_fullText_3"]	AES gene	C1412268
MAO B Inhibitors, dopaminergic anti-parkinson drugs	C3653412	INHIBITS	["35066317_fullText_2"]	MAOB gene	C1417002
decynium 22	C0220596	INHIBITS	["35954298_fullText_5"]	SLC29A4 gene	C1427914
lorcaserin	C2350948	COEXISTS_WITH	["35644487_fullText_10"]	NLRP1 wt Allele	C3538756
Terpenes	C0039561	STIMULATES	["33859287_fullText_7"]	CNR1 gene	C1413554
Cystine	C0010682	COEXISTS_WITH	["38870029_fullText_61"]	AKR1A1 wt Allele	C3715044
Cystine	C0010682	PART_OF	["38870029_fullText_61"]	AKR1A1 wt Allele	C3715044
NS398	C1567346	STIMULATES	["34571049_fullText_11"]	GRM5 gene	C1333712
WAY 100635	C0290799	INHIBITS	["35051421_fullText_9"]	TRIM32 gene	C1424232
Cortisone	C0010137	INHIBITS	["35319073_fullText_8"]	IDO1 gene	C1416433
Pulmonary Surfactants	C0034085	PART_OF	["23949219_fullText_91"]	TPPP3 gene	C2240116
Lipase	C0023764	INHIBITS	["36316118_fullText_6"]	FAAH gene	C1414512
Polyunsaturated Fatty Acids	C0032615	PART_OF	["28367954_fullText_58"]	PPARGC1A gene	C1418779
Polyunsaturated Fatty Acids	C0032615	COEXISTS_WITH	["9062899_fullText_1"]	PEX2 gene	C1419149
1,2-diacylglycerol	C0043791	STIMULATES	["37093422_fullText_10"]	TRPC6 gene	C1421173
Pterins	C0033992	COEXISTS_WITH	["21416196_fullText_3","21416196_fullText_4"]	LRP2 wt Allele	C3811119
Pterins	C0033992	COEXISTS_WITH__SPEC__	["21416196_fullText_3"]	LRP2 wt Allele	C3811119
aprepitant	C1176306	INHIBITS	["34942533_fullText_7","34942533_fullText_8"]	B3GAT1 gene	C1412716
aprepitant	C1176306	INHIBITS	["34515205_fullText_7"]	SLC6A3 wt Allele	C3813713
rimonabant	C1142933	COEXISTS_WITH	["36442615_fullText_2"]	NPS gene	C1836075
rimonabant	C1142933	INHIBITS	["36291128_fullText_1"]	CNR1 gene	C1413554
rimonabant	C1142933	STIMULATES	["33794254_fullText_4"]	CNR2 gene	C1413555
rimonabant	C1142933	STIMULATES	["35429587_fullText_8"]	CNR1 gene	C1413554
Ephedrine	C0014479	COEXISTS_WITH	["31773638_fullText_8"]	COLQ gene	C1413603
Fura-2	C0079389	STIMULATES	["33809893_fullText_5"]	GPR55 gene	C1415245
Human Platelet Antigens	C0085355	STIMULATES	["24488205_fullText_6"]	GCLC wt Allele	C1704697
Non-esterified cholesterol	C0368909	INHIBITS	["32368833_fullText_18"]	SHH gene	C1335824
Kainate	C0205812	STIMULATES	["34730179_fullText_2"]	KARS gene	C1416540
Ras Inhibitor	C1514727	INHIBITS	["35672114_fullText_5"]	MSLN gene	C1334533
ranolazine	C0073633	STIMULATES	["37122215_fullText_5"]	SCN5A gene	C1419864
Dextromethorphan	C0011816	compared_with	["34227748_fullText_6"]	Wild Type	C1883559
Bromocriptine	C0006230	INHIBITS	["34814904_fullText_10","34814904_fullText_11"]	MAPK11 gene	C1366875
Bromocriptine	C0006230	INHIBITS	["34814904_fullText_9"]	MAPK12 gene	C1366897
Bromocriptine	C0006230	INHIBITS	["34814904_fullText_9"]	MAPK13 gene	C1366898
Stimulant	C0304402	INTERACTS_WITH__SPEC__	["35661631_fullText_9"]	CFP gene	C1418482
SCH 23390	C0080138	COEXISTS_WITH	["34662693_fullText_4","34662693_fullText_5"]	NLRP1 wt Allele	C3538756
SCH 23390	C0080138	INHIBITS	["35077763_fullText_5"]	GRIN2B gene	C1415300
SCH 23390	C0080138	INHIBITS	["35077763_fullText_5"]	GRIN2A gene	C1415299
SCH 23390	C0080138	INHIBITS	["33993443_fullText_5"]	IMPACT gene	C1825598
Estrogens	C0014939	COEXISTS_WITH	["36686456_fullText_4"]	MSN gene	C1417371
Estrogens	C0014939	INHIBITS	["35212023_fullText_3"]	IMPACT gene	C1825598
Estrogens	C0014939	STIMULATES	["36557887_fullText_75"]	NDUFS8 gene	C1417651
Estrogens	C0014939	STIMULATES	["33766648_fullText_9"]	CYP1A2 gene	C1332826
Estrogens	C0014939	STIMULATES	["33766648_fullText_9"]	MYC gene	C0086661
Estrogens	C0014939	STIMULATES	["36152742_fullText_10"]	GPER1 gene	C1415223
TRYPSIN	C0041236	COEXISTS_WITH	["26908607_fullText_164"]	TSPO gene	C1823521
Thienopyridines	C2936588	INHIBITS	["35514261_fullText_4"]	P2RY1 gene	C1418217
5-alpha Reductase Inhibitors	C2936788	STIMULATES	["35428429_fullText_2"]	EEF1B2P2 gene	C1414290
Anti-Inflammatory Agents, Non-Steroidal	C0003211	STIMULATES	["32054946_fullText_4","27126921_fullText_5"]	MBNL1 gene	C1417055
Zinc	C0043481	COEXISTS_WITH	["15158304_fullText_10"]	HSD11B1 wt Allele	C3715113
Diphosphates	C0034320	COEXISTS_WITH	["30061496_fullText_72"]	ALG6 gene	C1427953
MRS 2179	C0674169	STIMULATES	["35514261_fullText_8"]	RAP1B gene	C1419266
MRS 2179	C0674169	INHIBITS	["35514261_fullText_4"]	P2RY1 gene	C1418217
LY 294002	C0251991	STIMULATES	["35514261_fullText_8"]	RAP1B gene	C1419266
LY 294002	C0251991	INHIBITS	["35514261_fullText_4"]	P2RY1 gene	C1418217
Homovanillate	C0178681	COEXISTS_WITH	["34774992_fullText_5"]	NLRP1 wt Allele	C3538756
Homovanillate	C0178681	COEXISTS_WITH	["34774992_fullText_5"]	CFP gene	C1418482
Homovanillate	C0178681	COEXISTS_WITH	["34774992_fullText_5"]	CPB2 gene	C1413666
Homovanillate	C0178681	COEXISTS_WITH	["34197000_fullText_7"]	GRIA1 gene	C1415287
Homovanillate	C0178681	COEXISTS_WITH	["26653793_fullText_7"]	Wild Type	C1883559
nornuciferine	C0069016	INHIBITS	["34139281_fullText_9"]	TRIM32 gene	C1424232
Methyl Group	C0596922	INHIBITS	["25303993_fullText_4"]	MBNL1 gene	C1417055
SB-334867	C1097132	INHIBITS	["36165531_fullText_7","37172740_fullText_6","36280008_fullText_4"]	HCRTR1 gene	C1415501
Alkynes	C0002078	COEXISTS_WITH	["25164984_fullText_6"]	MBNL1 gene	C1417055
Antiemetics	C0003297	INHIBITS	["34106456_fullText_7"]	B3GAT1 gene	C1412716
ramelteon	C1565316	INHIBITS	["37243798_fullText_1"]	HCRTR2 gene	C1415502
JTE 907	C0965044	STIMULATES	["33809893_fullText_4"]	GPR55 gene	C1415245
JTE 907	C0965044	STIMULATES	["33809893_fullText_3"]	CNR2 gene	C1413555
cangrelor	C1121991	INHIBITS	["34229761_fullText_3"]	GPR17 gene	C1333691
cangrelor	C1121991	INHIBITS	["34331235_fullText_2","37609698_fullText_1"]	P2RY12 gene	C1425330
cangrelor	C1121991	compared_with	["33961829_fullText_1","33961829_fullText_12"]	GTPBP1 gene	C1415351
Sumatriptan	C0075632	COEXISTS_WITH	["37524744_fullText_9"]	VIPR2 gene	C1421452
Sumatriptan	C0075632	COEXISTS_WITH	["37524744_fullText_9"]	GNAI1 gene	C1415142
HU 210	C0526470	INHIBITS	["33794254_fullText_4","35790401_fullText_9"]	CNR1 gene	C1413554
SR 144528	C0671375	INHIBITS	["34678230_fullText_12"]	CNR2 gene	C1413555
Pregnanolone	C0033008	INTERACTS_WITH	["33988248_fullText_5","33988248_fullText_6"]	UNC13A gene	C1427949
SR 141716A	C0258459	INHIBITS	["36858108_fullText_6"]	CNR1 gene	C1413554
Estradiol	C0014912	STIMULATES	["35628371_fullText_6"]	SLC5A7 gene	C1422359
Estradiol	C0014912	STIMULATES	["35628371_fullText_6"]	SLC18A3 gene	C1420116
Hematoxylin	C0018964	STIMULATES	["35385891_fullText_6"]	CALD1 wt Allele	C3813548
Transforming Growth Factor Beta 1	C1704256	INHIBITS	["34736899_fullText_12"]	HMGB1 gene	C1333908
Transforming Growth Factor Beta 1	C1704256	STIMULATES	["33901873_fullText_7"]	SMAD2 gene	C1334468
Membrane Lipids	C0025249	COEXISTS_WITH	["21384228_fullText_1","21384228_fullText_0"]	CEL gene	C1413336
Phenethylamines	C0031399	INTERACTS_WITH	["34996979_fullText_6","34996979_fullText_8"]	MAOB gene	C1417002
Aversion	C2825146	COEXISTS_WITH	["34326141_fullText_11"]	LHB gene	C1416842
Aversion	C2825146	STIMULATES	["35341569_fullText_5"]	CNR1 gene	C1413554
DAPI	C0057142	COEXISTS_WITH	["28916769_fullText_101"]	GCLC wt Allele	C1704697
roscovitine	C0536217	INHIBITS	["36473591_fullText_10"]	CDK5 gene	C1332735
Metformin	C0025598	STIMULATES	["33315951_fullText_62"]	NGLY1 gene	C1425023
prucalopride	C0913506	INHIBITS	["36581089_fullText_6"]	TAC1 gene	C1420563
ganaxolone	C0537150	COEXISTS_WITH	["35748707_fullText_4"]	TYRO3 wt Allele	C1705701
Anti-Arrhythmia Agents	C0003195	INHIBITS	["34062207_fullText_2"]	KCNA4 gene	C1416547
Thiazides	C0541746	COEXISTS_WITH	["35323951_fullText_5"]	RAPH1 gene	C1422646
promegapoietin	C0678075	COEXISTS_WITH	["28281558_fullText_6"]	PEX19 gene	C1419147
Go 6976	C0215863	INHIBITS	["37394095_fullText_7"]	PRRT2 wt Allele	C3539645
chelerythrine	C0055278	INHIBITS	["37394095_fullText_7"]	PRRT2 wt Allele	C3539645
Loratadine	C0065180	INHIBITS	["35714693_fullText_5"]	TRPV2 gene	C1425290
Loratadine	C0065180	INHIBITS	["35409346_fullText_6"]	JUN gene	C0162508
Loratadine	C0065180	STIMULATES	["35714693_fullText_4"]	TRPV2 gene	C1425290
Phosphodiesterase 5 inhibitor	C1318700	STIMULATES	["35428429_fullText_2"]	EEF1B2P2 gene	C1414290
O,O-diisopropyl-S-benzylthiophosphate	C0064368	INHIBITS	["35124136_fullText_3"]	P2RX7 gene	C1418215
Terbutaline	C0039542	INHIBITS	["35121794_fullText_8"]	FAM64A gene	C1825121
Bile Acids	C0005390	COEXISTS_WITH	["20959636_fullText_2"]	PHEX gene	C1418526
Bile Acids	C0005390	INHIBITS	["27469511_fullText_77"]	SLC10A1 gene	C1420086
Bile Acids	C0005390	INHIBITS	["14673138_fullText_8"]	PEX2 gene	C1419149
Isoflavones	C0022179	INHIBITS	["35489334_fullText_5"]	CNR1 gene	C1413554
Genistein	C0061202	INHIBITS	["35489334_fullText_9"]	CNR1 gene	C1413554
Genistein	C0061202	INHIBITS__SPEC__	["35489334_fullText_5"]	CNR1 gene	C1413554
umeclidinium	C3661274	COEXISTS_WITH	["37428619_fullText_7"]	LAMA1 gene	C1416775
Glucocorticoids	C0017710	compared_with	["30740912_fullText_49"]	AAAS gene	C1422135
Glucocorticoids	C0017710	same_as	["30740912_fullText_49"]	AAAS gene	C1422135
Product base	C0360301	INHIBITS	["33998860_fullText_15"]	SLC22A2 gene	C1420137
Product base	C0360301	INHIBITS	["33998860_fullText_15"]	SLCO1B1 gene	C1420131
Product base	C0360301	INHIBITS	["33998860_fullText_15"]	SLCO1B3 gene	C1420132
Product base	C0360301	INHIBITS	["33998860_fullText_14"]	SLC47A1 gene	C1853262
Product base	C0360301	INHIBITS	["33998860_fullText_14"]	SLC47A2 gene	C1853261
Product base	C0360301	INHIBITS	["33998860_fullText_15"]	ABCB11 gene	C1412070
Product base	C0360301	INHIBITS	["33998860_fullText_15"]	SLC22A6 gene	C1420141
tetrahydrodeoxycorticosterone	C0047053	INHIBITS	["35967446_fullText_7","35967446_fullText_12"]	TLR4 gene	C1336636
desloratadine	C0908935	INHIBITS	["33726554_fullText_6"]	HRH1 gene	C1439351
Eosine Yellowish	C0014448	STIMULATES	["35385891_fullText_6"]	CALD1 wt Allele	C3813548
Phentolamine	C0031448	COEXISTS_WITH	["36927146_fullText_3"]	IMPACT gene	C1825598
Phentolamine	C0031448	STIMULATES	["35790355_fullText_11","35790355_fullText_12"]	SLC1A2 gene	C1420120
Anti-Diarrheal	C0718565	COEXISTS_WITH	["34625464_fullText_8"]	CNR1 gene	C1413554
Oxycodone	C0030049	INHIBITS	["33988725_fullText_4"]	B3GAT1 gene	C1412716
Cotinine	C0010194	COEXISTS_WITH	["36914092_fullText_3"]	NLRP1 wt Allele	C3538756
Cisatracurium	C1096766	INHIBITS	["35393764_fullText_7"]	AQP5 gene	C1412495
Cisatracurium	C1096766	INHIBITS	["35393764_fullText_7"]	CACNA1C gene	C1413057
amthamine	C0171368	INHIBITS	["36184118_fullText_5"]	SHH gene	C1335824
Dimaprit	C0058185	INHIBITS	["36184118_fullText_5"]	SHH gene	C1335824
Methaqualone	C0025627	COEXISTS_WITH	["36462602_fullText_5"]	TBX4 wt Allele	C3813609
Cardiac drug	C0280076	COEXISTS_WITH	["12928748_fullText_13"]	LY86 gene	C1424584
Astemizole	C0085170	STIMULATES	["35714693_fullText_4"]	TRPV2 gene	C1425290
clemizole	C0008931	STIMULATES	["35714693_fullText_4"]	TRPV2 gene	C1425290
Methylatropine nitrate	C0128170	INHIBITS	["35697316_fullText_5"]	NTSR1 gene	C1417870
4-diphenylacetoxy-1,1-dimethylpiperidinium	C0048255	INHIBITS	["35681486_fullText_8"]	TLR4 gene	C1336636
