Phenotype	Phenotype_id	RELATION	PROVENANCE	Disease	Disease_id
Vomiting	C0042963	ASSOCIATED_WITH	["24341803_fullText_32"]	Gastroenteritis	C0017160
Hyperventilation	C0020578	COEXISTS_WITH	["36155765_fullText_4"]	Comatose	C0009421
poor health	C0683321	COEXISTS_WITH	["28899781_fullText_2","28899781_fullText_7"]	Mitochondrial Diseases	C0751651
Mild dysmorphism	C2675896	COEXISTS_WITH	["26084935_fullText_1","16343970_fullText_1"]	Phenylketonurias	C0031485
Skin Wrinkling	C0037301	COEXISTS_WITH	["21431621_fullText_4"]	Connective Tissue Diseases	C0009782
Skin Wrinkling	C0037301	COEXISTS_WITH	["21431621_fullText_79"]	Wrinkly skin syndrome	C0406587
Skin Wrinkling	C0037301	COEXISTS_WITH	["21431621_fullText_79"]	Cutis Laxa, Autosomal Recessive, Type IIA	C0268355
Skin Wrinkling	C0037301	COEXISTS_WITH	["21431621_fullText_1","22838182_fullText_56"]	Dermatologic disorders	C0037274
Skin Wrinkling	C0037301	COEXISTS_WITH__SPEC__	["21431621_fullText_1"]	Cutis Laxa	C0010495
Skin Wrinkling	C0037301	COEXISTS_WITH	["28409271_fullText_1"]	Cutis Laxa	C0010495
patient symptoms	C1317600	COEXISTS_WITH	["25707872_fullText_6"]	Hyperphenylalaninemia, Non-Phenylketonuric	C0751436
Hepatosplenomegaly	C0019214	COEXISTS_WITH	["11668168_fullText_1"]	Protracted diarrhea	C0473133
glucose high	C0860803	COEXISTS_WITH	["6340918_fullText_6"]	Wasting	C0235394
genital lesion	C0744369	COEXISTS_WITH	["17885447_fullText_5"]	Myotonic Dystrophy	C0027126
Variable manifestations	C3150238	COEXISTS_WITH	["19436705_fullText_0"]	Neuromuscular Diseases	C0027868
Variable manifestations	C3150238	COEXISTS_WITH__SPEC__	["28344440_fullText_0"]	Dystrophia myotonica 1	C2931688
Variable manifestations	C3150238	COEXISTS_WITH	["21777352_fullText_1"]	Autosomal dominant hereditary disorder	C0265385
Defective biosynthesis	C0522072	COEXISTS_WITH	["36706865_fullText_1","21431621_fullText_55","33076454_fullText_5"]	Congenital Disorders	C0242354
Cognitive decline, progressive	C1863063	COEXISTS_WITH	["34389398_fullText_1"]	Neurodegenerative Disorders	C0524851
Dysarthric speech	C1839743	COEXISTS_WITH	["20546952_fullText_6"]	Virus Diseases	C0042769
Dystonia, progressive	C2676282	COEXISTS_WITH	["11854167_fullText_2"]	Glutaric aciduria, type 1	C0268595
Electrocardiogram	C0013798	COEXISTS_WITH	["7798509_fullText_1"]	Heart Diseases	C0018799
Electrocardiogram	C0013798	PREDISPOSES	["31945689_abstract_5"]	Ventricular arrhythmia	C0085612
Electrocardiogram	C0013798	PREDISPOSES	["19214296_fullText_2"]	cardiac event	C0741923
Electrocardiogram	C0013798	COEXISTS_WITH__SPEC__	["25148278_fullText_1"]	Myotonic Dystrophy	C0027126
Electrocardiogram	C0013798	COEXISTS_WITH__SPEC__	["25148278_fullText_1"]	Dystrophia myotonica 1	C2931688
Facial Paresis	C0427055	ASSOCIATED_WITH	["24803843_fullText_37"]	Muscular Atrophy	C0026846
Facial Paresis	C0427055	COEXISTS_WITH	["6468454_fullText_3"]	Distal Muscular Dystrophies	C0751336
Facial Paresis	C0427055	COEXISTS_WITH__SPEC__	["29770365_fullText_1"]	Dystrophia myotonica 1	C2931688
Diarrhea	C0011991	CAUSES	["35068072_fullText_1"]	Anorectal anomaly	C2974527
Diarrhea	C0011991	PREDISPOSES	["35308014_fullText_153"]	Hypoglycemia	C0020615
Diarrhea	C0011991	ASSOCIATED_WITH	["12907065_fullText_3"]	Liver diseases	C0023895
Diarrhea	C0011991	ASSOCIATED_WITH	["12907065_fullText_3"]	Congenital disorder of glycosylation type 1A	C0349653
CNS symptom	C0422879	ASSOCIATED_WITH	["22131273_fullText_9"]	Myotonic Dystrophy	C0027126
Dyspnea	C0013404	COEXISTS_WITH	["31027758_fullText_1"]	Myotonic Dystrophy	C0027126
Dyspnea	C0013404	ASSOCIATED_WITH	["30301614_fullText_3"]	Dystrophia myotonica 1	C2931688
Dyspnea	C0013404	ASSOCIATED_WITH	["36681212_fullText_1"]	Heart failure	C0018801
Dyspnea	C0013404	COEXISTS_WITH__SPEC__	["37741092_fullText_1"]	Chronic Obstructive Airway Disease	C0024117
Recurrent infections	C0239998	COEXISTS_WITH	["12116250_fullText_1","21060795_fullText_0"]	Syndrome	C0039082
Recurrent infections	C0239998	COEXISTS_WITH	["11529501_fullText_6"]	Rare Diseases	C0678236
Recurrent infections	C0239998	COEXISTS_WITH	["32313197_fullText_2"]	Immunologic Deficiency Syndromes	C0021051
Recurrent infections	C0239998	COEXISTS_WITH	["37644541_fullText_37"]	Hyper-Immunoglobulin E Syndrome, Autosomal Dominant	C2936739
Recurrent infections	C0239998	COEXISTS_WITH	["32530140_fullText_31"]	IgG Deficiency	C0162539
Recurrent infections	C0239998	COEXISTS_WITH__SPEC__	["12116250_fullText_1"]	Congenital disorder of glycosylation, type 2C	C0398739
Cardiac conduction abnormalities	C1842820	COEXISTS_WITH	["17584276_fullText_1"]	Neuromuscular Diseases	C0027868
Cardiac conduction abnormalities	C1842820	COEXISTS_WITH	["35483324_fullText_1"]	Autosomal hereditary disorder	C0265384
Cardiac conduction abnormalities	C1842820	COEXISTS_WITH	["1138549_fullText_1"]	Myotonic Dystrophy	C0027126
Cardiac conduction abnormalities	C1842820	COEXISTS_WITH__SPEC__	["29770365_fullText_1"]	Dystrophia myotonica 1	C2931688
Seizures, early onset	C3275909	COEXISTS_WITH	["39501195_fullText_1"]	EPILEPSY, PYRIDOXINE-DEPENDENT	C1849508
Cardiac Arrhythmia	C0003811	COEXISTS_WITH	["37507215_fullText_7"]	Hepatolenticular Degeneration	C0019202
Cardiac Arrhythmia	C0003811	COEXISTS_WITH	["14510658_fullText_1"]	nervous system disorder	C0027765
Cardiac Arrhythmia	C0003811	COEXISTS_WITH	["28416514_fullText_7","17045670_fullText_1","12030525_fullText_1","27063795_fullText_153"]	Myotonic Dystrophy	C0027126
Cardiac Arrhythmia	C0003811	COEXISTS_WITH	["31046780_fullText_1"]	Miyoshi myopathy	C1850808
Cardiac Arrhythmia	C0003811	COEXISTS_WITH	["17360183_fullText_3","17360183_fullText_4"]	Sleep Apnea Syndromes	C0037315
Cardiac Arrhythmia	C0003811	COEXISTS_WITH	["34558218_fullText_2"]	VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1 (disorder)	C1631597
Cardiac Arrhythmia	C0003811	ISA	["15042318_fullText_2"]	Atrial Fibrillation	C0004238
Cardiac Arrhythmia	C0003811	ISA	["36058586_fullText_1","34112223_fullText_1"]	Cardiovascular Diseases	C0007222
Cardiac Arrhythmia	C0003811	PREDISPOSES	["35320605_fullText_1"]	Coronary Arteriosclerosis	C0010054
Cardiac Arrhythmia	C0003811	COMPLICATES	["138188_fullText_1"]	Myotonic Dystrophy	C0027126
Proximal muscle weakness	C0221629	COEXISTS_WITH	["26552645_fullText_3"]	Myasthenic Syndromes, Congenital	C0751882
Cerebral malformations	C1838626	COEXISTS_WITH	["26693825_fullText_13"]	Glutaric aciduria, type 1	C0268595
Observation of attack	C1304680	COEXISTS_WITH	["19289695_fullText_6"]	Myasthenic Syndromes, Congenital	C0751882
Observation of attack	C1304680	COEXISTS_WITH	["34503443_fullText_1"]	Headache Disorders, Primary	C1565106
Observation of attack	C1304680	COEXISTS_WITH	["37894952_fullText_1"]	Degenerative disorder	C1285162
Observation of attack	C1304680	COEXISTS_WITH__SPEC__	["37894952_fullText_1"]	Multiple Sclerosis	C0026769
Observation of attack	C1304680	COEXISTS_WITH__SPEC__	["34503443_fullText_1"]	Migraine Disorders	C0149931
Pruritus	C0033774	ASSOCIATED_WITH	["34962186_fullText_3"]	Urticaria	C0042109
Pruritus	C0033774	ASSOCIATED_WITH	["34397204_fullText_3","34397204_fullText_4"]	Psoriasis	C0033860
Pruritus	C0033774	ASSOCIATED_WITH__SPEC__	["36523650_fullText_5"]	Primary biliary cirrhosis	C0008312
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	COEXISTS_WITH	["21555948_fullText_5"]	Hyperphenylalaninaemia	C0751435
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	COEXISTS_WITH	["21555948_fullText_5"]	Phenylketonurias	C0031485
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	COEXISTS_WITH	["36402903_fullText_9"]	Chronic Kidney Insufficiency	C0403447
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	COEXISTS_WITH	["35803172_fullText_2"]	Chronic Obstructive Airway Disease	C0024117
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	COEXISTS_WITH	["36781199_fullText_6"]	Obesity	C0028754
American College of Cardiology/American Heart Association Lesion Complexity Score A	C3272281	PREDISPOSES	["35264399_fullText_7"]	Ischemic stroke	C0948008
Co-morbid conditions	C1275743	COEXISTS_WITH	["33762285_fullText_2"]	Restless Legs Syndrome	C0035258
Endocrine finding	C0559306	COEXISTS_WITH__SPEC__	["29770362_fullText_1"]	Dystrophia myotonica 1	C2931688
Endocrine finding	C0559306	COEXISTS_WITH	["31840338_fullText_2"]	Hypogonadism	C0020619
Endocrine finding	C0559306	COEXISTS_WITH	["36356843_fullText_6"]	hormone deficiency	C0599750
Urinary Incontinence Adverse Event	C1962973	COEXISTS_WITH	["16575302_fullText_2"]	Hydrocephalus, Normal Pressure	C0020258
Memory observations	C0700327	COEXISTS_WITH	["33892486_fullText_1"]	STUVE-WIEDEMANN SYNDROME	C0796176
Non-compliant behavior	C0474415	PREDISPOSES	["33274439_fullText_6"]	Dystonia Disorders	C0393593
Non-compliant behavior	C0474415	COEXISTS_WITH	["34930657_fullText_7"]	Chronic Kidney Insufficiency	C0403447
Non-compliant behavior	C0474415	COEXISTS_WITH	["34930657_fullText_7"]	Asthma	C0004096
daytime sleepiness	C0541854	COEXISTS_WITH	["8201339_fullText_1","8201339_fullText_5"]	Myotonic Dystrophy	C0027126
Nose symptoms	C0231918	ASSOCIATED_WITH	["35593100_fullText_9"]	Allergic condition	C0851444
Mental state (observable entity)	C0278060	COEXISTS_WITH	["33858316_fullText_1"]	Congenital disorder of glycosylation type 1A	C0349653
analgesic effect	C0948482	COEXISTS_WITH	["37298776_fullText_4"]	Premenstrual syndrome	C0033046
Immobile	C0231441	COEXISTS_WITH	["22068475_fullText_1"]	Muscular Dystrophy	C0026850
Neuropathic pain	C3714625	COEXISTS_WITH	["37480023_fullText_8"]	Fabry Disease	C0002986
Neuropathic pain	C3714625	COEXISTS_WITH	["36002781_fullText_10"]	Peripheral Neuropathy	C0031117
cholinesterase inhibition	C0877006	ISA	["35695705_fullText_1"]	Neurodegenerative Disorders	C0524851
Cardiovascular event	C1320716	COEXISTS_WITH	["36272353_fullText_4"]	Chronic Obstructive Airway Disease	C0024117
Cardiovascular event	C1320716	PREDISPOSES	["28550978_fullText_2"]	Terminal illness	C0679247
Cognitive problems	C3842628	COEXISTS_WITH	["28318283_fullText_2"]	Phenylketonurias	C0031485
Absence of pain sensation	C0344307	ASSOCIATED_WITH	["37493532_fullText_5"]	Hypothyroidism	C0020676
Absence of pain sensation	C0344307	ASSOCIATED_WITH	["37493532_fullText_5"]	Hyperthyroidism	C0020550
Urge Incontinence	C0150045	ASSOCIATED_WITH	["36576454_fullText_1"]	nervous system disorder	C0027765
Urge Incontinence	C0150045	ISA	["36576454_fullText_1"]	nervous system disorder	C0027765
bladder symptoms	C0741548	ASSOCIATED_WITH	["36576454_fullText_1"]	nervous system disorder	C0027765
Ejection fraction decreased	C0743400	COEXISTS_WITH	["34364800_fullText_3"]	Atrial Fibrillation	C0004238
Chronic cough	C0010201	ASSOCIATED_WITH	["37030486_fullText_1","37030486_fullText_7"]	Asthma	C0004096
Chronic cough	C0010201	COEXISTS_WITH__SPEC__	["37741092_fullText_1"]	Chronic Obstructive Airway Disease	C0024117
Fatigability	C0231230	COEXISTS_WITH	["26519543_fullText_1"]	Syndrome	C0039082
Fatigability	C0231230	ASSOCIATED_WITH	["36379720_fullText_2"]	Rare Diseases	C0678236
Fatigability	C0231230	ASSOCIATED_WITH	["27706425_fullText_1"]	nervous system disorder	C0027765
Fatigability	C0231230	ASSOCIATED_WITH	["21365067_fullText_3"]	Myasthenia Gravis	C0026896
Fatigability	C0231230	ASSOCIATED_WITH	["31226102_fullText_5"]	Myasthenic Syndromes, Congenital	C0751882
Acute onset pain	C0184567	CAUSES	["37604315_fullText_1"]	Chronic pain	C0150055
Xerostomia	C0043352	CAUSES	["34593340_fullText_2"]	Dental caries	C0011334
Xerostomia	C0043352	ASSOCIATED_WITH	["34537953_fullText_6"]	Hypertensive disease	C0020538
Urinary symptoms	C0426359	ASSOCIATED_WITH	["38576115_fullText_38"]	CEREBELLAR ATAXIA, NEUROPATHY, AND VESTIBULAR AREFLEXIA SYNDROME	C3281223
Urinary symptoms	C0426359	ASSOCIATED_WITH	["37791545_fullText_2"]	Syndrome	C0039082
Gastrointestinal symptom	C0426576	ASSOCIATED_WITH	["37194534_fullText_5"]	Chronic pain	C0150055
Gastrointestinal symptom	C0426576	ASSOCIATED_WITH	["8834995_fullText_1","19328663_fullText_1"]	Myotonic Dystrophy	C0027126
Erotic interest	C0424400	COEXISTS_WITH	["34000142_fullText_3"]	Restless Legs Syndrome	C0035258
Erotic interest	C0424400	COEXISTS_WITH	["34000142_fullText_3"]	Parkinson Disease	C0030567
Pregnancy Outcome	C0032972	COEXISTS_WITH	["15099870_fullText_7"]	Myotonic Dystrophy	C0027126
Hallucinations, Visual	C0233763	ASSOCIATED_WITH	["34291590_fullText_1"]	Parkinson Disease	C0030567
Hallucinations, Visual	C0233763	ASSOCIATED_WITH	["36919460_fullText_6"]	Lewy Body Disease	C0752347
Inefficiency	C0231184	COEXISTS_WITH	["35248781_fullText_2"]	Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia	C3714844
Breastfeeding (mother)	C1623040	COEXISTS_WITH	["36235790_fullText_9"]	Phenylketonurias	C0031485
Ventricular Tachyarrhythmia ECG Assessment	C3827656	COEXISTS_WITH	["6470345_fullText_5"]	Myotonic Dystrophy	C0027126
Ventricular Arrhythmia ECG Assessment	C3812282	COEXISTS_WITH	["28344440_fullText_1"]	Muscular Dystrophy	C0026850
Ventricular Arrhythmia ECG Assessment	C3812282	COEXISTS_WITH	["7798509_fullText_1"]	Myotonic Dystrophy	C0027126
Dysmyelination	C1857639	COEXISTS_WITH	["19774456_fullText_9"]	Cerebral atrophy	C0235946
Slow respiration	C0231837	COEXISTS_WITH	["36911946_fullText_5"]	Chronic hypercapnic respiratory failure	C1960052
Neurobehavioral Manifestations	C0525041	COEXISTS_WITH	["36897120_fullText_1"]	Alzheimer's Disease	C0002395
brain morphology	C1113650	COEXISTS_WITH	["22131273_fullText_9"]	Dystrophia myotonica 1	C2931688
Myalgia	C0231528	COEXISTS_WITH	["11519202_fullText_5"]	Dystrophia myotonica 2	C2931689
Myalgia	C0231528	COEXISTS_WITH__SPEC__	["10382907_fullText_1"]	Dystrophia myotonica 2	C2931689
6 mm	C3842086	COEXISTS_WITH	["35770802_fullText_55"]	Painful Bladder Syndrome	C1720830
Experimental Finding	C2825141	COEXISTS_WITH	["37317917_fullText_8"]	Alzheimer's Disease	C0002395
Pain, Intractable	C0030200	COEXISTS_WITH	["37565896_fullText_3"]	Cirrhosis	C1623038
Abdominal Pain	C0000737	COEXISTS_WITH	["8525657_fullText_2"]	myotonic muscular dystrophy	C0242007
Small airways	C1862763	COEXISTS_WITH	["34069899_fullText_3"]	Chronic Obstructive Airway Disease	C0024117
Acute vomiting	C0232597	ASSOCIATED_WITH	["35355772_fullText_8"]	Gastritis	C0017152
Acute vomiting	C0232597	ASSOCIATED_WITH	["35355772_fullText_8"]	Enteritis	C0014335
Acute vomiting	C0232597	ASSOCIATED_WITH	["35355772_fullText_8"]	Pancreatitis	C0030305
Muscle Spasticity	C0026838	ASSOCIATED_WITH	["33807196_fullText_1"]	Syndrome	C0039082
Reduced life expectancy	C1858274	COEXISTS_WITH	["35661713_fullText_10"]	Cirrhosis	C1623038
Sarcopenia	C0872084	COEXISTS_WITH	["37088015_fullText_5"]	Chronic Kidney Diseases	C1561643
Sarcopenia	C0872084	COEXISTS_WITH	["32023700_abstract_6"]	Cirrhosis	C1623038
Sarcopenia	C0872084	ISA	["34172001_fullText_5"]	Neuromuscular Diseases	C0027868
Renal dysfunction	C3279454	COEXISTS_WITH	["31650703_fullText_1"]	Phenylketonurias	C0031485
Neural Tube Defects	C0027794	COEXISTS_WITH	["35792828_fullText_95"]	early pregnancy	C0747845
Prolonged menses	C0425945	COEXISTS_WITH	["35972062_fullText_7"]	Hypoglycemia	C0020615
New York Heart Association Class II	C1882085	COEXISTS_WITH	["37728907_fullText_2"]	Left Ventricular Hypertrophy	C0149721
Frailty	C0424594	COEXISTS_WITH	["37301739_fullText_7"]	Heart failure	C0018801
Prodrome	C0240805	ASSOCIATED_WITH	["36514014_fullText_1"]	Migraine Disorders	C0149931
Hematuria	C0018965	COEXISTS_WITH	["34225668_fullText_3"]	Alport Syndrome	C1567741
Tachyarrhythmia	C0080203	ISA	["17575483_fullText_3"]	Heart Diseases	C0018799
Back Pain	C0004604	ASSOCIATED_WITH	["27199540_fullText_53"]	Neuromuscular Diseases	C0027868
Overweight	C0497406	COEXISTS_WITH	["39408322_fullText_3"]	Phenylketonurias	C0031485
Overweight	C0497406	CAUSES	["24348268_fullText_80"]	Precocious Puberty	C0034013
Overweight	C0497406	ASSOCIATED_WITH	["26598928_fullText_4","24055312_fullText_1","23137570_fullText_10"]	Phenylketonurias	C0031485
Welts	C0221232	ASSOCIATED_WITH	["34962186_fullText_3"]	Urticaria	C0042109
Welts	C0221232	ASSOCIATED_WITH	["35967390_fullText_1"]	Chronic urticaria	C0263338
Welts	C0221232	ASSOCIATED_WITH__SPEC__	["36109351_fullText_1"]	Urticaria	C0042109
Personality change	C0240735	ASSOCIATED_WITH	["8378492_fullText_4"]	Myotonic Dystrophy	C0027126
Oral Manifestations	C0029166	COEXISTS_WITH	["35945839_fullText_3"]	Systemic disease	C0442893
Regurgitates after swallowing	C0232605	COEXISTS_WITH	["34023479_fullText_1"]	Syndrome	C0039082
Tinnitus	C0040264	COEXISTS_WITH__SPEC__	["36827524_fullText_1"]	Meniere Disease	C0025281
Normal thyroid function	C0740378	COEXISTS_WITH	["932181_fullText_3"]	Phenylketonurias	C0031485
New York Heart Association Class	C1882083	COEXISTS_WITH	["37804042_fullText_9"]	Hypertensive disease	C0020538
Repolarization abnormalities	C3279217	COEXISTS_WITH	["35525424_fullText_1"]	Hereditary Diseases	C0019247
Hypertriglyceridemia	C0020557	COEXISTS_WITH	["30944903_fullText_23"]	Dyslipidemias	C0242339
Hypertriglyceridemia	C0020557	ISA	["34082146_fullText_7"]	Dyslipidemias	C0242339
Hypersomnolence	C0751229	ASSOCIATED_WITH	["9106123_fullText_3","9106123_fullText_6","17285226_fullText_1"]	Myotonic Dystrophy	C0027126
Cachexia	C0006625	COEXISTS_WITH	["19568364_fullText_1","27854224_fullText_0"]	Hereditary Diseases	C0019247
Cachexia	C0006625	COEXISTS_WITH	["31725606_fullText_1"]	Multisystem disorder	C0559758
Cachexia	C0006625	COEXISTS_WITH	["32744322_fullText_1"]	Myopathy	C0026848
Cachexia	C0006625	ASSOCIATED_WITH	["26519543_fullText_2"]	Myasthenic Syndromes, Congenital	C0751882
Cachexia	C0006625	ASSOCIATED_WITH	["739270_fullText_6","8235233_fullText_4"]	Myotonic Dystrophy	C0027126
Cachexia	C0006625	ASSOCIATED_WITH	["16927100_fullText_1"]	Neuromuscular Diseases	C0027868
Cachexia	C0006625	ASSOCIATED_WITH	["21549096_fullText_1"]	Muscular Dystrophy	C0026850
Cachexia	C0006625	COEXISTS_WITH__SPEC__	["19568364_fullText_1"]	Myotonic Dystrophy	C0027126
Cachexia	C0006625	COEXISTS_WITH__SPEC__	["32744322_fullText_1"]	Muscular Dystrophy, Facioscapulohumeral	C0238288
Erythema	C0041834	ASSOCIATED_WITH	["34962186_fullText_3"]	Urticaria	C0042109
Single organ dysfunction	C0349410	ASSOCIATED_WITH	["35672014_fullText_7"]	Cirrhosis	C1623038
Single organ dysfunction	C0349410	COEXISTS_WITH	["37366533_fullText_11"]	infectious pneumonia	C2721563
Respiratory Paralysis	C0035232	COEXISTS_WITH	["16243623_fullText_2"]	Neuromuscular Diseases	C0027868
insufficient sleep	C1822020	PREDISPOSES	["34052807_fullText_6"]	Hypertensive disease	C0020538
insufficient sleep	C1822020	PREDISPOSES	["34052807_fullText_6"]	Diabetes	C0011847
Sexual symptom	C0425722	PREDISPOSES	["36763929_fullText_9"]	sexual problem	C0856619
Lack of Efficacy	C0235828	COEXISTS_WITH	["37700622_fullText_8"]	Phenylketonurias	C0031485
Rhinorrhea	C1260880	ASSOCIATED_WITH	["35429285_fullText_1","35429285_fullText_8"]	Rhinitis	C0035455
Digestive symptom	C0476288	ASSOCIATED_WITH	["12236481_fullText_1"]	Myotonic Dystrophy	C0027126
Digestive symptom	C0476288	ASSOCIATED_WITH	["12907065_fullText_2"]	Congenital disorder of glycosylation type 1A	C0349653
Chronotropic incompetence	C1997984	COEXISTS_WITH	["34794685_fullText_1"]	Heart failure	C0018801
Musculoskeletal Pain	C0026858	ISA	["27199540_fullText_55"]	Neuromuscular Diseases	C0027868
Musculoskeletal Pain	C0026858	COEXISTS_WITH	["35455956_fullText_1"]	Chronic pain syndrome	C1298685
Decreased Libido	C0011124	ASSOCIATED_WITH	["34247952_fullText_3"]	Erectile dysfunction	C0242350
Sneezing	C0037383	COEXISTS_WITH	["34087247_fullText_1"]	Inflammatory disorder	C1290884
Electrocardiogram abnormal	C0522055	COEXISTS_WITH	["22827830_fullText_68"]	Left ventricular systolic dysfunction	C1277187
Pain Threshold	C0162703	COEXISTS_WITH__SPEC__	["33924258_fullText_1"]	Fibromyalgia	C0016053
Underweight	C0041667	COEXISTS_WITH	["19167224_fullText_5"]	Deglutition Disorders	C0011168
Phimosis	C0031538	IS_A		Other specified disorders of penis	C0029785
Thrombocytopenia	C0040034	COEXISTS_WITH	["35726421_fullText_1"]	Severe Dengue	C0019100
racial differences	C0682075	COEXISTS_WITH	["36800060_fullText_3"]	Heart failure	C0018801
racial differences	C0682075	COEXISTS_WITH	["36800060_fullText_3"]	Cerebrovascular accident	C0038454
Malabsorption	C3714745	COEXISTS_WITH	["7148275_fullText_3"]	Phenylketonurias	C0031485
Heartburn	C0018834	ASSOCIATED_WITH	["31735798_fullText_7"]	Peptic Esophagitis	C0014869
Low body weight	C1864448	COEXISTS_WITH	["29390978_fullText_44"]	Neuromuscular Diseases	C0027868
Poor compliance	C0032646	COEXISTS_WITH	["19026037_fullText_2"]	Phenylketonurias	C0031485
Diaphragmatic paresis	C0521532	CAUSES	["30838353_fullText_15"]	Respiratory Failure	C1145670
Flare	C1517205	ASSOCIATED_WITH	["34962186_fullText_3"]	Urticaria	C0042109
Decreased contractility	C1846086	COEXISTS_WITH	["969822_fullText_4"]	Muscular Dystrophy	C0026850
Abnormal blood pressure	C0005826	PREDISPOSES	["35587357_fullText_1"]	Glaucoma	C0017601
New York Heart Association Class IV	C1882087	COEXISTS_WITH	["37041663_fullText_3"]	Diabetes Mellitus, Non-Insulin-Dependent	C0011860
Visual disturbance	C0547030	ASSOCIATED_WITH	["19568364_fullText_34"]	Myotonic Dystrophy	C0027126
Motor disturbances	C2220255	ASSOCIATED_WITH__SPEC__	["2960429_fullText_1"]	Glutaric aciduria, type 1	C0268595
Motor disturbances	C2220255	ASSOCIATED_WITH	["2960429_fullText_1"]	Metabolic Diseases	C0025517
Torpor	C0235193	COEXISTS_WITH	["37446216_fullText_6"]	Septicemia	C0036690
Increased tyrosine	C1168492	COEXISTS_WITH	["6732755_fullText_7"]	Phenylketonurias	C0031485
Bedwetting	C0270327	ISA	["37428825_fullText_1"]	Intermittent urinary incontinence	C3472580
Bitemporal Hemianopia	C0221184	COEXISTS_WITH	["37344216_fullText_8"]	Optic chiasm disorder	C0155307
Perseverative behavior	C1843368	COEXISTS_WITH	["34921828_fullText_10"]	OROFACIAL CLEFT 1	C1861537
Retinal dysfunction	C3809218	COEXISTS_WITH	["8933342_fullText_2"]	Peroxisomal Disorders	C0282528
Retirement	C0035345	PREDISPOSES	["36254163_fullText_8"]	Chronic Obstructive Airway Disease	C0024117
Decreased testosterone level	C1295654	COEXISTS_WITH	["3927876_fullText_6"]	Myotonic Dystrophy	C0027126
Increased fatigue	C2673338	COEXISTS_WITH	["22131273_fullText_80"]	Dystrophia myotonica 1	C2931688
Floppiness	C3554068	COEXISTS_WITH	["35610768_fullText_2"]	Intraoperative floppy iris syndrome	C1688637
Loss of scalp hair	C0574769	COEXISTS_WITH__SPEC__	["25148278_fullText_1"]	Dystrophia myotonica 1	C2931688
Loss of scalp hair	C0574769	COEXISTS_WITH	["17584276_fullText_1"]	Neuromuscular Diseases	C0027868
Loss of scalp hair	C0574769	COEXISTS_WITH__SPEC__	["25148278_fullText_1"]	Myotonic Dystrophy	C0027126
Burning sensation	C0085624	ASSOCIATED_WITH	["34962186_fullText_3"]	Urticaria	C0042109
Localized edema	C0013609	ASSOCIATED_WITH	["34962186_fullText_3"]	Urticaria	C0042109
Social Rejection	C0237827	COEXISTS_WITH	["36130935_fullText_8"]	Communicable Diseases	C0009450
Rapid regression	C1836551	COEXISTS_WITH	["35741019_fullText_64"]	Leukodystrophy	C0023520
Psychomotor deficit	C2921139	COEXISTS_WITH	["35897817_fullText_3"]	Osteoporosis with pseudoglioma	C0432252
ethnic differences	C0682076	PREDISPOSES	["32216101_fullText_55"]	Metabolic Diseases	C0025517
Skeletal muscle weakness	C3806327	COEXISTS_WITH	["27854224_fullText_0"]	Hereditary Diseases	C0019247
Skeletal muscle weakness	C3806327	COEXISTS_WITH__SPEC__	["32744322_fullText_1"]	Muscular Dystrophy, Facioscapulohumeral	C0238288
Skeletal muscle weakness	C3806327	COEXISTS_WITH	["30628727_fullText_5","26327126_fullText_1","25166616_fullText_1"]	Neuromuscular Diseases	C0027868
Skeletal muscle weakness	C3806327	COEXISTS_WITH	["32744322_fullText_1"]	Myopathy	C0026848
Skeletal muscle weakness	C3806327	COEXISTS_WITH	["37798036_fullText_5"]	Multisystem disorder	C0559758
Electrocardiogram: P-R interval	C0429087	PREDISPOSES	["31968060_fullText_1"]	Atrioventricular Block	C0004245
Electrocardiogram: P-R interval	C0429087	PREDISPOSES	["31968060_fullText_1"]	Cardiac Arrest	C0018790
Electrocardiogram: P-R interval	C0429087	COEXISTS_WITH	["24039817_fullText_56"]	Epiphyseal dysplasia, multiple, 1	C1838280
Electrocardiogram: P-R interval	C0429087	COEXISTS_WITH	["17584276_fullText_1"]	Neuromuscular Diseases	C0027868
THROMBOPHILIA DUE TO THROMBIN DEFECT	C3160733	IS_A		Thrombophilia	C0398623
Hypertension, episodic	C1857175	PREDISPOSES	["36878399_fullText_2"]	Cardiovascular Diseases	C0007222
Poor cognition	C1836387	COEXISTS_WITH	["36813260_fullText_2"]	Cerebral atrophy	C0235946
Ovarian enlargement	C0392039	COEXISTS_WITH__SPEC__	["33851429_fullText_0"]	Ovarian Hyperstimulation Syndrome	C0085083
Grimaces	C0239779	ASSOCIATED_WITH	["20370816_fullText_7"]	Tonic - clonic seizures	C0494475
Spontaneous hemorrhage	C1321132	COEXISTS_WITH	["24468193_fullText_4"]	Organic aciduria	C0241775
Marked heterogeneity	C1867118	COEXISTS_WITH	["11708866_fullText_1"]	Classical phenylketonuria	C0751434
