Gene	Gene_id	RELATION	PROVENANCE	Drug	Drug_id
PMM2 gene	C1418674	INTERACTS_WITH	["32266963_fullText_4","32962735_fullText_88"]	Mannose	C0024742
PMM2 gene	C1418674	STIMULATES	["26940433_fullText_72"]	Mannose	C0024742
PMM2 gene	C1418674	INTERACTS_WITH__INFER__	["32962735_fullText_7"]	Mannose	C0024742
SRRT gene	C2680450	COEXISTS_WITH	["21060795_fullText_69"]	Fucose	C0016786
FUK gene	C1428864	INHIBITS	["38735264_fullText_1"]	Fucose	C0016786
GCDH gene	C1415009	STIMULATES	["36221165_fullText_1"]	Organic acid (substance)	C0369760
DRG1 gene	C1414151	COEXISTS_WITH	["23180777_fullText_81"]	Fast Blue	C0060083
SV2A gene	C1427005	COEXISTS_WITH	["33706129_fullText_2"]	Brivaracetam	C1699861
AES gene	C1412268	INTERACTS_WITH__INFER__	["34510960_fullText_1"]	imidafenacin	C1876226
CHAF1A wt Allele	C3812373	STIMULATES	["35011001_fullText_5"]	Dehydroascorbic Acid	C0011177
ETHE1 gene	C1428025	INTERACTS_WITH__INFER__	["36093993_fullText_188"]	Metronidazole	C0025872
ASAH1 wt Allele	C3539770	STIMULATES	["31705726_fullText_20"]	ethylene diurea	C0059804
LGALS4 gene	C1416832	INHIBITS	["26940433_fullText_21"]	Saline Solution, Hypertonic	C0036085
LGALS4 gene	C1416832	compared_with	["26940433_fullText_21"]	Saline Solution, Hypertonic	C0036085
TSC22D3 wt Allele	C3539618	INTERACTS_WITH__INFER__	["36584558_fullText_5"]	Cinnarizine	C0008803
FXYD2 gene	C1414875	COEXISTS_WITH	["24204001_fullText_6","24204001_fullText_9"]	Dopachrome isomerase	C0114832
PCBD1 gene	C1418296	PRODUCES	["24204001_fullText_5"]	Dopachrome isomerase	C0114832
SLC12A3 gene	C1420092	COEXISTS_WITH	["33940111_fullText_1"]	Dopachrome isomerase	C0114832
ALDH7A1 gene	C1412691	STIMULATES	["29045138_fullText_1"]	Aminoadipate	C1979846
TSPO gene	C1823521	COEXISTS_WITH	["31479473_fullText_56","23509070_fullText_178"]	Tromethamine	C0041175
PTS gene	C1419129	compared_with	["34000119_fullText_3"]	Prostaglandins D	C0033558
CNR1 gene	C1413554	CONVERTS_TO	["34676751_fullText_4"]	2-methylindole	C0046385
CNR2 gene	C1413555	CONVERTS_TO	["34676751_fullText_4"]	2-methylindole	C0046385
PYROXD2 gene	C1428119	COEXISTS_WITH	["35055180_fullText_121"]	5-Trimethoxyamphetamine	C0301363
SLC33A1 gene	C1412113	COEXISTS_WITH	["20945165_fullText_53"]	Tween 20	C0041415
Wild Type	C1883559	INTERACTS_WITH	["32992790_fullText_23","32992790_fullText_108"]	FAD	C3247466
ATXN3 gene	C1538301	COEXISTS_WITH	["20865150_fullText_96"]	HEPES	C0019215
GTF2I gene	C1415347	COEXISTS_WITH__SPEC__	["27053713_fullText_108"]	HEPES	C0019215
ALDH7A1 gene	C1412691	INTERACTS_WITH__INFER__	["35279367_fullText_10"]	pyridoxine	C0034272
IPP gene	C1416469	PRODUCES	["21384228_fullText_51"]	Mevalonate	C0677647
PADI4 wt Allele	C3540603	COEXISTS_WITH	["37348465_fullText_3"]	(3beta,5alpha,17beta)-17-hydroxyestrane-3-carbonitrile	C0760481
CEL gene	C1413336	compared_with	["35907113_fullText_5"]	(3beta,5alpha,17beta)-17-hydroxyestrane-3-carbonitrile	C0760481
CALD1 wt Allele	C3813548	COEXISTS_WITH	["37661662_fullText_2"]	Nicorandil	C0068700
ALDH18A1 gene	C1538262	INHIBITS	["21431621_fullText_100"]	Ornithine	C0029277
GIT2 wt Allele	C1708123	STIMULATES	["32872442_fullText_140"]	Ornithine	C0029277
SLC5A8 gene	C1426025	INHIBITS	["7189815_fullText_8"]	Agar	C0001771
MAOB gene	C1417002	INHIBITS	["37087882_fullText_7"]	dolutegravir	C3253985
GCDH gene	C1415009	COEXISTS_WITH	["32992790_fullText_182"]	Flavins	C0016213
SERPINF2 gene	C1418648	INHIBITS	["34913624_fullText_4"]	Plasmin	C0016016
PMM2 gene	C1418674	INTERACTS_WITH__SPEC__	["12889654_fullText_1"]	Glycoconjugates	C0017906
NDUFS4 gene	C1417647	INHIBITS	["34849584_fullText_138"]	dimethylglycine	C0058265
IMPACT gene	C1825598	STIMULATES	["36699037_fullText_3"]	letrozole	C0246421
AASS gene	C1424938	COEXISTS_WITH	["32567100_fullText_4"]	glutaric acid	C0061506
ALDH7A1 gene	C1412691	COEXISTS_WITH	["34756024_fullText_5"]	pipecolic acid	C0031951
GCDH gene	C1415009	COEXISTS_WITH	["24498361_fullText_1"]	3-hydroxyglutaric acid	C0667581
DHTKD1 gene	C1428130	INHIBITS	["32160276_fullText_3"]	glutarylcarnitine	C0061512
AASS gene	C1424938	INHIBITS	["32567100_fullText_3"]	glutarylcarnitine	C0061512
OGDH gene	C1417943	PRODUCES	["32160276_fullText_3"]	glutarylcarnitine	C0061512
GLUD1 gene	C1415113	INHIBITS	["24498361_fullText_80"]	Glutarates	C0017816
Homologous Gene	C1334043	INTERACTS_WITH	["29844506_fullText_91","29844506_fullText_128"]	Glutarates	C0017816
AKR1A1 wt Allele	C3715044	PRODUCES	["29844506_fullText_89"]	Glutarates	C0017816
NTM gene	C1842796	COEXISTS_WITH	["39388898_fullText_4"]	4-Aminohippuric Acid	C0030123
PEX13 gene	C1418474	compared_with	["27827795_fullText_8"]	Carbonyl Cyanide m-Chlorophenyl Hydrazone	C0007043
TOMM20 gene	C1427202	COEXISTS_WITH	["27827795_fullText_9"]	Carbonyl Cyanide m-Chlorophenyl Hydrazone	C0007043
SLC35A1 gene	C1420187	INHIBITS	["33076454_fullText_75"]	N-Acetylneuraminic Acid	C0067762
PMM2 gene	C1418674	INHIBITS	["33076454_fullText_75"]	N-Acetylneuraminic Acid	C0067762
RBFOX2 gene	C1419304	COEXISTS_WITH	["28512194_fullText_31"]	Protein C	C0033621
PMM2 gene	C1418674	STIMULATES	["31636082_fullText_39"]	epalrestat	C0095278
PMM2 gene	C1418674	INTERACTS_WITH__INFER__	["34652821_fullText_4","34652821_fullText_11"]	epalrestat	C0095278
PMM2 gene	C1418674	INHIBITS	["31636082_fullText_149"]	polyol	C0071629
SRD5A3 gene	C2240046	STIMULATES	["21384228_fullText_129"]	Dolichol	C0012990
MPI gene	C1417244	PRODUCES	["24139637_fullText_57"]	mannose 1-phosphate	C0065682
NANS gene	C1426104	PRODUCES	["36224347_fullText_89"]	Sialic Acids	C0037025
MTHFR gene	C0919427	COEXISTS_WITH	["10822069_fullText_5"]	Prothrombin	C0033706
TMEM199 gene	C1425293	COEXISTS_WITH	["36706865_fullText_11"]	south 7	C1689887
NGLY1 gene	C1425023	COEXISTS_WITH	["35653343_fullText_95"]	TWS 119	C2932366
PEX2 gene	C1419149	INTERACTS_WITH__INFER__	["2000261_fullText_3"]	Cholic Acid	C0055568
MAGT1 gene	C2239666	COEXISTS_WITH	["25135935_fullText_89"]	factor VII	C0015502
PEX2 gene	C1419149	INTERACTS_WITH__INFER__	["2000261_fullText_4"]	Chenodeoxycholic Acid	C0008024
cDNA Library	C0751608	COEXISTS_WITH	["1567655_fullText_9"]	antibiotic G 418	C0052009
DYM gene	C1539322	INHIBITS	["10356596_fullText_1"]	17-alpha-Hydroxyprogesterone	C0045010
DDR1 gene	C1333206	STIMULATES	["39320846_fullText_56"]	1,2-di-(4-sulfamidophenyl)-4-butylpyrazolidine-3,5-dione	C0603200
Genes, X-Linked	C0678928	PRODUCES	["27484195_fullText_12"]	Neomycin	C0027603
KRT17 wt Allele	C3810569	PRODUCES	["27010216_fullText_124"]	1-azidonaphthalene-5-sulfonate	C0044297
ENPP1 gene	C1414407	PRODUCES	["27010216_fullText_124"]	1-azidonaphthalene-5-sulfonate	C0044297
MSMP gene	C2677316	PRODUCES	["27010216_fullText_124"]	1-azidonaphthalene-5-sulfonate	C0044297
MBNL1 gene	C1417055	INTERACTS_WITH	["24179176_fullText_127","24179176_fullText_131"]	Ro 31-8220	C0084393
MBNL1 gene	C1417055	STIMULATES	["24179176_fullText_132"]	Ro 31-8220	C0084393
MBNL1 gene	C1417055	STIMULATES	["24179176_fullText_54"]	Chromomycin A3	C0040563
COLQ gene	C1413603	INHIBITS	["38003406_fullText_6"]	Triple Helix	C3282067
FOXM1 wt Allele	C3538717	compared_with	["38216959_fullText_4","38216959_abstract_4"]	Antilymphocyte Serum	C0003372
FOXM1 wt Allele	C3538717	COEXISTS_WITH	["38216959_fullText_5","38216959_abstract_5"]	Antilymphocyte Serum	C0003372
ATF4 gene	C1412617	COEXISTS_WITH	["35211808_fullText_97"]	Antilymphocyte Serum	C0003372
LGALS4 gene	C1416832	COEXISTS_WITH	["28623239_fullText_103"]	Promega	C0072149
Alleles	C0002085	COEXISTS_WITH	["18270582_fullText_88"]	Promega	C0072149
ETFB gene	C1414472	STIMULATES	["24498361_fullText_36"]	Isopropyl Thiogalactoside	C0022239
ATXN3 gene	C1538301	COEXISTS_WITH	["33477953_fullText_126"]	YEAST EXTRACT	C0873195
NGLY1 gene	C1425023	COEXISTS_WITH	["32259258_fullText_141"]	Neutral buffered formalin	C0492002
NDUFS4 gene	C1417647	CONVERTS_TO	["39385390_fullText_101"]	NA-5	C0131647
NDUFS4 gene	C1417647	STIMULATES	["35872650_fullText_92"]	NA-5	C0131647
CELF1 gene	C1413824	COEXISTS_WITH	["22431750_fullText_137"]	Polybrene	C0282194
ELF4 gene	C1414377	COEXISTS_WITH	["26785728_fullText_66"]	trizol	C0916178
Genome	C0017428	COEXISTS_WITH	["26785728_fullText_55"]	trizol	C0916178
GCDH gene	C1415009	PRODUCES	["23658800_fullText_70"]	Phenylmethylsulfonyl Fluoride	C0031493
TSPO gene	C1823521	COEXISTS_WITH	["27390132_fullText_110"]	DDMS	C0764864
PEX19 gene	C1419147	COEXISTS_WITH	["28281558_fullText_118"]	potassium phosphate	C0071778
TMEM173 gene	C1823437	INHIBITS	["30135079_fullText_12","30135079_fullText_14"]	Gamma globulin serum	C0305052
NGLY1 gene	C1425023	PRODUCES	["30135079_fullText_6"]	Gamma globulin serum	C0305052
IRF3 gene	C1334139	INHIBITS	["30135079_fullText_12"]	Gamma globulin serum	C0305052
NGLY1 gene	C1425023	INHIBITS	["30135079_fullText_69"]	Gamma globulin serum	C0305052
NFE2L1 gene	C1417700	INHIBITS	["30135079_fullText_43"]	Gamma globulin serum	C0305052
PMM2 gene	C1418674	INHIBITS	["22956764_fullText_23"]	Alcian Blue	C0001933
KIFC3 gene	C1416641	INHIBITS	["32368833_fullText_80"]	Filipin	C0016095
TRAJ10 gene	C1420891	COEXISTS_WITH	["29261720_fullText_101"]	rosaniline hydrochloride	C0950459
DDX6 gene	C0812257	compared_with	["24792155_fullText_110"]	1-(saligenin cyclic phospho)-9-biotinyldiaminononane	C0257357
LYN gene	C0812307	COEXISTS_WITH	["23949219_fullText_54"]	Myristic Acid	C0027138
DRG1 gene	C1414151	COEXISTS_WITH	["23180777_fullText_81"]	nuclear yellow	C0069130
CUX1 gene	C1413827	PRODUCES	["26756355_fullText_73"]	MB 3	C0602254
ATXN3 gene	C1538301	compared_with	["38376240_fullText_34"]	trivalent influenza vaccine	C0770694
Wild Type	C1883559	INHIBITS	["38177503_fullText_36"]	Alpha-1,3-galactosyltransferase-expressing Allogeneic Renal Cell Carcinoma Vaccine	C3815169
NDUFS4 gene	C1417647	INHIBITS	["38177503_fullText_37"]	Alpha-1,3-galactosyltransferase-expressing Allogeneic Renal Cell Carcinoma Vaccine	C3815169
