radboudid,guid,label
MONDO_0018715,http://purl.obolibrary.org/obo/MONDO_0018715,congenital hemangioma
MONDO_0020854,http://purl.obolibrary.org/obo/MONDO_0020854,Liddle syndrome 2
EFO_0002504,http://www.ebi.ac.uk/efo/EFO_0002504,serous cystadenoma
EFO_0003046,http://www.ebi.ac.uk/efo/EFO_0003046,heart transplant rejection
HP_0001605,http://purl.obolibrary.org/obo/HP_0001605,Vocal cord paralysis
HP_0004763,http://purl.obolibrary.org/obo/HP_0004763,Paroxysmal supraventricular tachycardia
MONDO_0044793,http://purl.obolibrary.org/obo/MONDO_0044793,spitz nevus
HP_0000954,http://purl.obolibrary.org/obo/HP_0000954,Single transverse palmar crease
HP_0030160,http://purl.obolibrary.org/obo/HP_0030160,Cervicitis
MONDO_0020845,http://purl.obolibrary.org/obo/MONDO_0020845,"progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5"
MONDO_0010589,http://purl.obolibrary.org/obo/MONDO_0010589,"Aarskog-Scott syndrome, X-linked"
MONDO_0030910,http://purl.obolibrary.org/obo/MONDO_0030910,"intellectual disability, autosomal dominant 45"
MONDO_0032917,http://purl.obolibrary.org/obo/MONDO_0032917,"hearing loss, autosomal dominant 76"
EFO_0000332,http://www.ebi.ac.uk/efo/EFO_0000332,chondromyxoid fibroma
HP_0002036,http://purl.obolibrary.org/obo/HP_0002036,Hiatus hernia
HP_0002251,http://purl.obolibrary.org/obo/HP_0002251,Aganglionic megacolon
HP_0003040,http://purl.obolibrary.org/obo/HP_0003040,Arthropathy
MONDO_0009703,http://purl.obolibrary.org/obo/MONDO_0009703,myopathy with abnormal lipid metabolism
MONDO_0013680,http://purl.obolibrary.org/obo/MONDO_0013680,cognitive impairment with or without cerebellar ataxia
HP_0002857,http://purl.obolibrary.org/obo/HP_0002857,Genu valgum
MONDO_0018794,http://purl.obolibrary.org/obo/MONDO_0018794,cytosolic phospholipase-A2 alpha deficiency associated bleeding disorder
MONDO_0060589,http://purl.obolibrary.org/obo/MONDO_0060589,"facial palsy, congenital, with ptosis and velopharyngeal dysfunction"
HP_0002110,http://purl.obolibrary.org/obo/HP_0002110,Bronchiectasis
HP_0002119,http://purl.obolibrary.org/obo/HP_0002119,Ventriculomegaly
HP_0011344,http://purl.obolibrary.org/obo/HP_0011344,Severe global developmental delay
HP_0011499,http://purl.obolibrary.org/obo/HP_0011499,Mydriasis
HP_0100633,http://purl.obolibrary.org/obo/HP_0100633,Esophagitis
MONDO_0021469,http://purl.obolibrary.org/obo/MONDO_0021469,benign neoplasm of anus
MONDO_0060582,http://purl.obolibrary.org/obo/MONDO_0060582,auditory neuropathy-optic atrophy syndrome
HP_0000131,http://purl.obolibrary.org/obo/HP_0000131,Uterine leiomyoma
MONDO_0016690,http://purl.obolibrary.org/obo/MONDO_0016690,pleomorphic xanthoastrocytoma
MONDO_0054699,http://purl.obolibrary.org/obo/MONDO_0054699,proteasome-associated autoinflammatory syndrome 3
HP_0000023,http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia
HP_0000540,http://purl.obolibrary.org/obo/HP_0000540,Hypermetropia
HP_0000978,http://purl.obolibrary.org/obo/HP_0000978,Bruising susceptibility
HP_0002140,http://purl.obolibrary.org/obo/HP_0002140,Ischemic stroke
MONDO_0004379,http://purl.obolibrary.org/obo/MONDO_0004379,female breast carcinoma
MONDO_0030917,http://purl.obolibrary.org/obo/MONDO_0030917,"intellectual disability, autosomal dominant 51"
EFO_0003764,http://www.ebi.ac.uk/efo/EFO_0003764,transient ischemic attack
HP_0002900,http://purl.obolibrary.org/obo/HP_0002900,Hypokalemia
HP_0002936,http://purl.obolibrary.org/obo/HP_0002936,Distal sensory impairment
HP_0004872,http://purl.obolibrary.org/obo/HP_0004872,Incisional hernia
HP_0006571,http://purl.obolibrary.org/obo/HP_0006571,Reduced number of intrahepatic bile ducts
MONDO_0014940,http://purl.obolibrary.org/obo/MONDO_0014940,"neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset"
MONDO_0054852,http://purl.obolibrary.org/obo/MONDO_0054852,peeling skin syndrome 6
HP_0001776,http://purl.obolibrary.org/obo/HP_0001776,Bilateral talipes equinovarus
HP_0012235,http://purl.obolibrary.org/obo/HP_0012235,Drug-induced agranulocytosis
MONDO_0010504,http://purl.obolibrary.org/obo/MONDO_0010504,immunodeficiency 47
MONDO_0020593,http://purl.obolibrary.org/obo/MONDO_0020593,trichoblastoma
MONDO_0100186,http://purl.obolibrary.org/obo/MONDO_0100186,GTP cyclohydrolase I deficiency with hyperphenylalaninemia
HP_0012199,http://purl.obolibrary.org/obo/HP_0012199,Cluster headache
MONDO_0010318,http://purl.obolibrary.org/obo/MONDO_0010318,FG syndrome 4
MONDO_0014850,http://purl.obolibrary.org/obo/MONDO_0014850,retinitis pigmentosa and erythrocytic microcytosis
MONDO_0018653,http://purl.obolibrary.org/obo/MONDO_0018653,Polymerase proofreading-related adenomatous polyposis
EFO_0000502,http://www.ebi.ac.uk/efo/EFO_0000502,ganglioneuroblastoma
MONDO_0002278,http://purl.obolibrary.org/obo/MONDO_0002278,benign colon neoplasm
MONDO_0044312,http://purl.obolibrary.org/obo/MONDO_0044312,immunoskeletal dysplasia with neurodevelopmental abnormalities
MONDO_0054860,http://purl.obolibrary.org/obo/MONDO_0054860,"hearing loss, autosomal recessive 110"
EFO_0001357,http://www.ebi.ac.uk/efo/EFO_0001357,sporadic amyotrophic lateral sclerosis
HP_0001082,http://purl.obolibrary.org/obo/HP_0001082,Cholecystitis
MONDO_0004359,http://purl.obolibrary.org/obo/MONDO_0004359,delusional disorder
MONDO_0007268,http://purl.obolibrary.org/obo/MONDO_0007268,hypertrophic cardiomyopathy 4
MONDO_0007336,http://purl.obolibrary.org/obo/MONDO_0007336,isolated cleft palate
MONDO_0029143,http://purl.obolibrary.org/obo/MONDO_0029143,intellectual developmental disorder with hypertelorism and distinctive facies
HP_0000307,http://purl.obolibrary.org/obo/HP_0000307,Pointed chin
HP_0001520,http://purl.obolibrary.org/obo/HP_0001520,Large for gestational age
HP_0003073,http://purl.obolibrary.org/obo/HP_0003073,Hypoalbuminemia
HP_0004691,http://purl.obolibrary.org/obo/HP_0004691,2-3 toe syndactyly
MONDO_0001903,http://purl.obolibrary.org/obo/MONDO_0001903,calcific tendinitis
MONDO_0002863,http://purl.obolibrary.org/obo/MONDO_0002863,rhabdomyosarcoma with mixed embryonal and alveolar features
MONDO_0009866,http://purl.obolibrary.org/obo/MONDO_0009866,"phosphoenolpyruvate carboxykinase deficiency, cytosolic"
MONDO_0014369,http://purl.obolibrary.org/obo/MONDO_0014369,postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome
MONDO_0020638,http://purl.obolibrary.org/obo/MONDO_0020638,superficial spreading melanoma
MONDO_0054565,http://purl.obolibrary.org/obo/MONDO_0054565,short-rib thoracic dysplasia 17 with or without polydactyly
MONDO_0060758,http://purl.obolibrary.org/obo/MONDO_0060758,"spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits"
EFO_0002616,http://www.ebi.ac.uk/efo/EFO_0002616,macroglobulinemia
HP_0000678,http://purl.obolibrary.org/obo/HP_0000678,Dental crowding
HP_0001880,http://purl.obolibrary.org/obo/HP_0001880,Eosinophilia
HP_0008967,http://purl.obolibrary.org/obo/HP_0008967,Exercise-induced muscle stiffness
HP_0011736,http://purl.obolibrary.org/obo/HP_0011736,Primary hyperaldosteronism
MONDO_0012586,http://purl.obolibrary.org/obo/MONDO_0012586,"coronary artery disease, autosomal dominant 2"
MONDO_0013618,http://purl.obolibrary.org/obo/MONDO_0013618,craniofacial anomalies and anterior segment dysgenesis syndrome
MONDO_0014603,http://purl.obolibrary.org/obo/MONDO_0014603,autosomal dominant nonsyndromic hearing loss 40
HP_0002342,http://purl.obolibrary.org/obo/HP_0002342,"Intellectual disability, moderate"
MONDO_0008939,http://purl.obolibrary.org/obo/MONDO_0008939,isolated cerebellar hypoplasia/agenesis
MONDO_0009948,http://purl.obolibrary.org/obo/MONDO_0009948,"pyropoikilocytosis, hereditary"
MONDO_0011571,http://purl.obolibrary.org/obo/MONDO_0011571,"deafness, autosomal dominant 39, with dentinogenesis imperfecta 1"
MONDO_0011973,http://purl.obolibrary.org/obo/MONDO_0011973,"zinc deficiency, transient neonatal"
MONDO_0013928,http://purl.obolibrary.org/obo/MONDO_0013928,dystonia 23
HP_0001094,http://purl.obolibrary.org/obo/HP_0001094,Iridocyclitis
HP_0004419,http://purl.obolibrary.org/obo/HP_0004419,Recurrent thrombophlebitis
HP_0005181,http://purl.obolibrary.org/obo/HP_0005181,Premature coronary artery atherosclerosis
HP_0008419,http://purl.obolibrary.org/obo/HP_0008419,Intervertebral disk degeneration
HP_0012388,http://purl.obolibrary.org/obo/HP_0012388,Acute bronchitis
HP_0400007,http://purl.obolibrary.org/obo/HP_0400007,Polymenorrhea
MONDO_0020853,http://purl.obolibrary.org/obo/MONDO_0020853,"encephalitis/encephalopathy, mild, with reversible myelin vacuolization"
EFO_0002623,http://www.ebi.ac.uk/efo/EFO_0002623,septic peritonitis
EFO_0003779,http://www.ebi.ac.uk/efo/EFO_0003779,Hashimoto's thyroiditis
HP_0020174,http://purl.obolibrary.org/obo/HP_0020174,Refractory drug response
HP_0031273,http://purl.obolibrary.org/obo/HP_0031273,Shock
MONDO_0014252,http://purl.obolibrary.org/obo/MONDO_0014252,familial hypobetalipoproteinemia 1
MONDO_0014701,http://purl.obolibrary.org/obo/MONDO_0014701,"spondyloepiphyseal dysplasia, Stanescu type"
MONDO_0019457,http://purl.obolibrary.org/obo/MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome
MONDO_0032928,http://purl.obolibrary.org/obo/MONDO_0032928,"T-cell lymphopenia, infantile, with or without nail dystrophy, autosomal dominant"
EFO_0000195,http://www.ebi.ac.uk/efo/EFO_0000195,metabolic syndrome
HP_0000823,http://purl.obolibrary.org/obo/HP_0000823,Delayed puberty
HP_0002171,http://purl.obolibrary.org/obo/HP_0002171,Gliosis
HP_0100504,http://purl.obolibrary.org/obo/HP_0100504,Decreased circulating vitamin B2 concentration
MONDO_0014801,http://purl.obolibrary.org/obo/MONDO_0014801,even-plus syndrome
MONDO_0019474,http://purl.obolibrary.org/obo/MONDO_0019474,hepatosplenic T-cell lymphoma
EFO_0003812,http://www.ebi.ac.uk/efo/EFO_0003812,refractory anemia with ringed sideroblasts
HP_0000011,http://purl.obolibrary.org/obo/HP_0000011,Neurogenic bladder
HP_0000121,http://purl.obolibrary.org/obo/HP_0000121,Nephrocalcinosis
MONDO_0000816,http://purl.obolibrary.org/obo/MONDO_0000816,abdominal obesity-metabolic syndrome
MONDO_0019469,http://purl.obolibrary.org/obo/MONDO_0019469,T-cell large granular lymphocyte leukemia
MONDO_0020513,http://purl.obolibrary.org/obo/MONDO_0020513,spermatocytic seminoma
MONDO_0032688,http://purl.obolibrary.org/obo/MONDO_0032688,polymicrogyria with or without vascular-type Ehlers-Danlos syndrome
MONDO_0032887,http://purl.obolibrary.org/obo/MONDO_0032887,"neurodevelopmental disorder with microcephaly, cortical malformations, and spasticity"
MONDO_0032909,http://purl.obolibrary.org/obo/MONDO_0032909,"mitochondrial complex 3 deficiency, nuclear type 10"
MONDO_0044327,http://purl.obolibrary.org/obo/MONDO_0044327,polycystic liver disease 4 with or without kidney cysts
MONDO_0060729,http://purl.obolibrary.org/obo/MONDO_0060729,"protoporphyria, erythropoietic, 2"
EFO_0002499,http://www.ebi.ac.uk/efo/EFO_0002499,anaplastic astrocytoma
EFO_0002500,http://www.ebi.ac.uk/efo/EFO_0002500,anaplastic oligoastrocytoma
EFO_0003762,http://www.ebi.ac.uk/efo/EFO_0003762,vitamin D deficiency
HP_0000044,http://purl.obolibrary.org/obo/HP_0000044,Hypogonadotropic hypogonadism
HP_0001987,http://purl.obolibrary.org/obo/HP_0001987,Hyperammonemia
HP_0003419,http://purl.obolibrary.org/obo/HP_0003419,Low back pain
HP_0025267,http://purl.obolibrary.org/obo/HP_0025267,Snoring
MONDO_0001285,http://purl.obolibrary.org/obo/MONDO_0001285,endometriosis of pelvic peritoneum
MONDO_0060583,http://purl.obolibrary.org/obo/MONDO_0060583,platelet abnormalities with eosinophilia and immune-mediated inflammatory disease
EFO_0000331,http://www.ebi.ac.uk/efo/EFO_0000331,chondroblastoma
EFO_0002628,http://www.ebi.ac.uk/efo/EFO_0002628,peripartum cardiomyopathy
HP_0000803,http://purl.obolibrary.org/obo/HP_0000803,Renal cortical cysts
HP_0005855,http://purl.obolibrary.org/obo/HP_0005855,Multiple prenatal fractures
MONDO_0004933,http://purl.obolibrary.org/obo/MONDO_0004933,hypoplastic left heart syndrome
MONDO_0044725,http://purl.obolibrary.org/obo/MONDO_0044725,combined immunodeficiency due to GINS1 deficiency
HP_0000767,http://purl.obolibrary.org/obo/HP_0000767,Pectus excavatum
MONDO_0004784,http://purl.obolibrary.org/obo/MONDO_0004784,allergic asthma
MONDO_0013017,http://purl.obolibrary.org/obo/MONDO_0013017,hypotrichosis 5
MONDO_0018072,http://purl.obolibrary.org/obo/MONDO_0018072,persistent truncus arteriosus
OBI_1110021,http://purl.obolibrary.org/obo/OBI_1110021,infection process
HP_0002024,http://purl.obolibrary.org/obo/HP_0002024,Malabsorption
HP_0012595,http://purl.obolibrary.org/obo/HP_0012595,Mild proteinuria
MONDO_0003531,http://purl.obolibrary.org/obo/MONDO_0003531,papillary eccrine carcinoma
MONDO_0008672,http://purl.obolibrary.org/obo/MONDO_0008672,Watson syndrome
MONDO_0011431,http://purl.obolibrary.org/obo/MONDO_0011431,MASS syndrome
MONDO_0013334,http://purl.obolibrary.org/obo/MONDO_0013334,cocoon syndrome
EFO_0003758,http://www.ebi.ac.uk/efo/EFO_0003758,autism
HP_0002148,http://purl.obolibrary.org/obo/HP_0002148,Hypophosphatemia
MONDO_0003158,http://purl.obolibrary.org/obo/MONDO_0003158,malignant myoepithelioma
MONDO_0003865,http://purl.obolibrary.org/obo/MONDO_0003865,acral lentiginous melanoma
MONDO_0013549,http://purl.obolibrary.org/obo/MONDO_0013549,N-acetylaspartate deficiency
MONDO_0014464,http://purl.obolibrary.org/obo/MONDO_0014464,progressive encephalopathy with leukodystrophy due to DECR deficiency
MONDO_0024677,http://purl.obolibrary.org/obo/MONDO_0024677,pancreatic insulinoma
MONDO_0029130,http://purl.obolibrary.org/obo/MONDO_0029130,"polydactyly, postaxial, type A8"
MONDO_0060663,http://purl.obolibrary.org/obo/MONDO_0060663,"congenital heart defects, multiple types, 5"
EFO_0002496,http://www.ebi.ac.uk/efo/EFO_0002496,actinic keratosis
HP_0000265,http://purl.obolibrary.org/obo/HP_0000265,Mastoiditis
HP_0002144,http://purl.obolibrary.org/obo/HP_0002144,Tethered cord
HP_0002757,http://purl.obolibrary.org/obo/HP_0002757,Recurrent fractures
HP_0003756,http://purl.obolibrary.org/obo/HP_0003756,Skeletal myopathy
HP_0005280,http://purl.obolibrary.org/obo/HP_0005280,Depressed nasal bridge
HP_0011411,http://purl.obolibrary.org/obo/HP_0011411,Forceps delivery
MONDO_0003619,http://purl.obolibrary.org/obo/MONDO_0003619,salpingitis
MONDO_0004557,http://purl.obolibrary.org/obo/MONDO_0004557,congenital fibrosarcoma
MONDO_0007586,http://purl.obolibrary.org/obo/MONDO_0007586,"exostoses, multiple, type 2"
MONDO_0012274,http://purl.obolibrary.org/obo/MONDO_0012274,acromesomelic dysplasia 3
MONDO_0013543,http://purl.obolibrary.org/obo/MONDO_0013543,trypsinogen deficiency
MONDO_0013656,http://purl.obolibrary.org/obo/MONDO_0013656,"intellectual disability, autosomal dominant 9"
MONDO_0014813,http://purl.obolibrary.org/obo/MONDO_0014813,hypomyelinating leukodystrophy 13
MONDO_0030027,http://purl.obolibrary.org/obo/MONDO_0030027,"tremor, hereditary essential, 6"
MONDO_0042487,http://purl.obolibrary.org/obo/MONDO_0042487,uterine cervix carcinoma in situ
EFO_0001358,http://www.ebi.ac.uk/efo/EFO_0001358,post-traumatic stress disorder
HP_0000341,http://purl.obolibrary.org/obo/HP_0000341,Narrow forehead
HP_0000616,http://purl.obolibrary.org/obo/HP_0000616,Miosis
MONDO_0008295,http://purl.obolibrary.org/obo/MONDO_0008295,sporadic porphyria cutanea tarda
HP_0001279,http://purl.obolibrary.org/obo/HP_0001279,Syncope
MONDO_0054743,http://purl.obolibrary.org/obo/MONDO_0054743,polycystic liver disease 3 with or without kidney cysts
HP_0006882,http://purl.obolibrary.org/obo/HP_0006882,Severe hydrocephalus
HP_0012167,http://purl.obolibrary.org/obo/HP_0012167,Hair-pulling
MONDO_0030062,http://purl.obolibrary.org/obo/MONDO_0030062,"arrhythmogenic right ventricular dysplasia, familial, 14"
HP_0000473,http://purl.obolibrary.org/obo/HP_0000473,Torticollis
MONDO_0030034,http://purl.obolibrary.org/obo/MONDO_0030034,"epilepsy, progressive myoclonic, 11"
MONDO_0032882,http://purl.obolibrary.org/obo/MONDO_0032882,Heyn-Sproul-Jackson syndrome
EFO_0000613,http://www.ebi.ac.uk/efo/EFO_0000613,myxoid liposarcoma
MONDO_0001302,http://purl.obolibrary.org/obo/MONDO_0001302,hypertensive heart disease
MONDO_0012909,http://purl.obolibrary.org/obo/MONDO_0012909,"skeletal defects, genital hypoplasia, and intellectual disability"
MONDO_0015564,http://purl.obolibrary.org/obo/MONDO_0015564,Castleman disease
MONDO_0032903,http://purl.obolibrary.org/obo/MONDO_0032903,"arthrogryposis multiplex congenita 4, neurogenic, with agenesis of the corpus callosum"
EFO_0000775,http://www.ebi.ac.uk/efo/EFO_0000775,Whipple's disease
MONDO_0002558,http://purl.obolibrary.org/obo/MONDO_0002558,melanotic neurilemmoma
MONDO_0007648,http://purl.obolibrary.org/obo/MONDO_0007648,hereditary diffuse gastric adenocarcinoma
MONDO_0011283,http://purl.obolibrary.org/obo/MONDO_0011283,mitochondrial DNA depletion syndrome 1
MONDO_0014671,http://purl.obolibrary.org/obo/MONDO_0014671,"neuropathy, hereditary motor and sensory, type 6B"
MONDO_0014957,http://purl.obolibrary.org/obo/MONDO_0014957,language delay and attention deficit-hyperactivity disorder/cognitive impairment with or without cardiac arrhythmia
MONDO_0019088,http://purl.obolibrary.org/obo/MONDO_0019088,post-transplant lymphoproliferative disease
MONDO_0032932,http://purl.obolibrary.org/obo/MONDO_0032932,mitochondrial DNA depletion syndrome 18
EFO_0000394,http://www.ebi.ac.uk/efo/EFO_0000394,dedifferentiated chondrosarcoma
HP_0002901,http://purl.obolibrary.org/obo/HP_0002901,Hypocalcemia
MONDO_0010292,http://purl.obolibrary.org/obo/MONDO_0010292,Uruguay Faciocardiomusculoskeletal syndrome
MONDO_0015813,http://purl.obolibrary.org/obo/MONDO_0015813,primary cutaneous marginal zone B-cell lymphoma
MONDO_0032936,http://purl.obolibrary.org/obo/MONDO_0032936,"myopathy, congenital, with respiratory insufficiency and bone fractures"
EFO_0002894,http://www.ebi.ac.uk/efo/EFO_0002894,amelanotic skin melanoma
HP_0000132,http://purl.obolibrary.org/obo/HP_0000132,Menorrhagia
HP_0000768,http://purl.obolibrary.org/obo/HP_0000768,Pectus carinatum
HP_0031217,http://purl.obolibrary.org/obo/HP_0031217,Hot flashes
HP_0031456,http://purl.obolibrary.org/obo/HP_0031456,Ectopic pregnancy
MONDO_0019465,http://purl.obolibrary.org/obo/MONDO_0019465,nodal marginal zone B-cell lymphoma
EFO_0003759,http://www.ebi.ac.uk/efo/EFO_0003759,pervasive developmental disorder - not otherwise specified
HP_0002751,http://purl.obolibrary.org/obo/HP_0002751,Kyphoscoliosis
MONDO_0009709,http://purl.obolibrary.org/obo/MONDO_0009709,"myopathy, centronuclear, 2"
MONDO_0010920,http://purl.obolibrary.org/obo/MONDO_0010920,microtia
MONDO_0016700,http://purl.obolibrary.org/obo/MONDO_0016700,anaplastic ependymoma
EFO_0000255,http://www.ebi.ac.uk/efo/EFO_0000255,angioimmunoblastic T-cell lymphoma
HP_0011974,http://purl.obolibrary.org/obo/HP_0011974,Myelofibrosis
MONDO_0008409,http://purl.obolibrary.org/obo/MONDO_0008409,"congenital myopathy 7A, myosin storage, autosomal dominant"
